A;uV;uVn
0;-22;0
0.1;-9;13
0.2;5;27
0.3;21;43
0.4;35;57
0.5;49;71
0.6;63;85
0.7;77;99
0.8;88;110
0.9;100;122
1;108;130
1.1;117;139
1.2;123;145
1.3;128;150
1.4;133;155
1.5;137;159
