A;uV;uVn
0;-20;0
0.1;-8;12
0.2;5;25
0.3;18;38
0.4;30;50
0.5;43;63
0.6;56;76
0.7;67;87
0.8;78;98
0.9;87;107
1;95;115
1.1;102;122
1.2;108;128
1.3;112;132
1.4;117;137
1.5;120;140
