A;uV;uVn
0;-7;0
0.1;-2;5
0.2;3;10
0.3;9;16
0.4;15;22
0.5;20;27
0.6;25;32
0.7;30;37
0.8;34;41
0.9;38;45
1;42;49
1.1;45;52
1.2;47;54
1.3;49;56
1.4;51;58
1.5;52;59
