A;uV;uVn
0;-25;0
0.1;-10;15
0.2;7;32
0.3;22;47
0.4;38;63
0.5;55;80
0.6;72;97
0.7;85;110
0.8;99;124
0.9;111;136
1;121;146
1.1;131;156
1.2;137;162
1.3;145;170
1.4;149;174
1.5;154;179
