A;uV;uVn
0;-28;0
0.1;-12;16
0.2;6;34
0.3;24;52
0.4;42;70
0.5;62;90
0.6;78;106
0.7;94;122
0.8;109;137
0.9;123;151
1;134;162
1.1;144;172
1.2;152;180
1.3;158;186
1.4;164;192
1.5;170;198
