A;uV;uVn
0;-10;0
0.1;-2;8
0.2;4;14
0.3;12;22
0.4;19;29
0.5;26;36
0.6;33;43
0.7;39;49
0.8;45;55
0.9;51;61
1;56;66
1.1;60;70
1.2;63;73
1.3;65;75
1.4;67;77
1.5;70;80
