A;uV;uVn
0;-17;0
0.1;-7;10
0.2;3;20
0.3;15;32
0.4;25;42
0.5;37;54
0.6;47;64
0.7;57;74
0.8;65;82
0.9;75;92
1;81;98
1.1;87;104
1.2;91;108
1.3;95;112
1.4;99;116
1.5;102;119
