Частота,A * B
(kГц),(?)

0.00000000,0.00215634
0.02384186,0.00088612
0.04768372,0.00016378
0.07152557,0.00009677
0.09536743,0.00019902
0.11920929,0.00018248
0.14305115,0.00002825
0.16689301,0.00007701
0.19073486,0.00019915
0.21457672,0.00018905
0.23841858,0.00011057
0.26226044,0.00012746
0.28610229,0.00017409
0.30994415,0.00013742
0.33378601,0.00019260
0.35762787,0.00020435
0.38146973,0.00012364
0.40531158,0.00006506
0.42915344,0.00029907
0.45299530,0.00041630
0.47683716,0.00025423
0.50067902,0.00013415
0.52452087,0.00017349
0.54836273,0.00012433
0.57220459,0.00007171
0.59604645,0.00009055
0.61988831,0.00022458
0.64373016,0.00010753
0.66757202,0.00003304
0.69141388,0.00003315
0.71525574,0.00013020
0.73909760,0.00017946
0.76293945,0.00028742
0.78678131,0.00030117
0.81062317,0.00020469
0.83446503,0.00010888
0.85830688,0.00008014
0.88214874,0.00017120
0.90599060,0.00011805
0.92983246,0.00032701
0.95367432,0.00037673
0.97751617,0.00044213
1.00135803,0.00080013
1.02519989,0.00046570
1.04904175,0.00011244
1.07288361,0.00017345
1.09672546,0.00020947
1.12056732,0.00020364
1.14440918,0.00012647
1.16825104,0.00006681
1.19209290,0.00010223
1.21593475,0.00020360
1.23977661,0.00019191
1.26361847,0.00011130
1.28746033,0.00017686
1.31130219,0.00012176
1.33514404,0.00008552
1.35898590,0.00006072
1.38282776,0.00011472
1.40666962,0.00012245
1.43051147,0.00027512
1.45435333,0.00033602
1.47819519,0.00025045
1.50203705,0.00011719
1.52587891,0.00000858
1.54972076,0.00013104
1.57356262,0.00028673
1.59740448,0.00019420
1.62124634,0.00022765
1.64508820,0.00026644
1.66893005,0.00009086
1.69277191,0.00014218
1.71661377,0.00017623
1.74045563,0.00018506
1.76429749,0.00033524
1.78813934,0.00049097
1.81198120,0.00047179
1.83582306,0.00027565
1.85966492,0.00025435
1.88350677,0.00028502
1.90734863,0.00017826
1.93119049,0.00019725
1.95503235,0.00026291
1.97887421,0.00029055
2.00271606,0.00024386
2.02655792,0.00014623
2.05039978,0.00017080
2.07424164,0.00021918
2.09808350,0.00022181
2.12192535,0.00016019
2.14576721,0.00004163
2.16960907,0.00021080
2.19345093,0.00019878
2.21729279,0.00012581
2.24113464,0.00008868
2.26497650,0.00008281
2.28881836,0.00026301
2.31266022,0.00038545
2.33650208,0.00047525
2.36034393,0.00034587
2.38418579,0.00014156
2.40802765,0.00030482
2.43186951,0.00024023
2.45571136,0.00003427
2.47955322,0.00024216
2.50339508,0.00031749
2.52723694,0.00031220
2.55107880,0.00014709
2.57492065,0.00004712
2.59876251,0.00009829
2.62260437,0.00009800
2.64644623,0.00014546
2.67028809,0.00021129
2.69412994,0.00014841
2.71797180,0.00015023
2.74181366,0.00027644
2.76565552,0.00037027
2.78949738,0.00035666
2.81333923,0.00021898
2.83718109,0.00011855
2.86102295,0.00016803
2.88486481,0.00009286
2.90870667,0.00015944
2.93254852,0.00019037
2.95639038,0.00037432
2.98023224,0.00089173
3.00407410,0.00110789
3.02791595,0.00057903
3.05175781,0.00018348
3.07559967,0.00012634
3.09944153,0.00026010
3.12328339,0.00037506
3.14712524,0.00036176
