Частота,A * B
(kГц),(?)

0.00000000,0.00276349
0.02384186,0.00109785
0.04768372,0.00019288
0.07152557,0.00022146
0.09536743,0.00011642
0.11920929,0.00007302
0.14305115,0.00008358
0.16689301,0.00011877
0.19073486,0.00017753
0.21457672,0.00020916
0.23841858,0.00021965
0.26226044,0.00025717
0.28610229,0.00019778
0.30994415,0.00015611
0.33378601,0.00015546
0.35762787,0.00012522
0.38146973,0.00007956
0.40531158,0.00016501
0.42915344,0.00028746
0.45299530,0.00031900
0.47683716,0.00016080
0.50067902,0.00003669
0.52452087,0.00011108
0.54836273,0.00010363
0.57220459,0.00007518
0.59604645,0.00014538
0.61988831,0.00015292
0.64373016,0.00012663
0.66757202,0.00007008
0.69141388,0.00018396
0.71525574,0.00016170
0.73909760,0.00012377
0.76293945,0.00031929
0.78678131,0.00042724
0.81062317,0.00029361
0.83446503,0.00017033
0.85830688,0.00017360
0.88214874,0.00021130
0.90599060,0.00023599
0.92983246,0.00021722
0.95367432,0.00008244
0.97751617,0.00062208
1.00135803,0.00121376
1.02519989,0.00068085
1.04904175,0.00010088
1.07288361,0.00025638
1.09672546,0.00027903
1.12056732,0.00011645
1.14440918,0.00012102
1.16825104,0.00025885
1.19209290,0.00024572
1.21593475,0.00012003
1.23977661,0.00001130
1.26361847,0.00005252
1.28746033,0.00004755
1.31130219,0.00021705
1.33514404,0.00024823
1.35898590,0.00020502
1.38282776,0.00012565
1.40666962,0.00005555
1.43051147,0.00001710
1.45435333,0.00011538
1.47819519,0.00018555
1.50203705,0.00017468
1.52587891,0.00017483
1.54972076,0.00021704
1.57356262,0.00022420
1.59740448,0.00029654
1.62124634,0.00027950
1.64508820,0.00006259
1.66893005,0.00013521
1.69277191,0.00028431
1.71661377,0.00045157
1.74045563,0.00049058
1.76429749,0.00028476
1.78813934,0.00012080
1.81198120,0.00002114
1.83582306,0.00006632
1.85966492,0.00010742
1.88350677,0.00023232
1.90734863,0.00020578
1.93119049,0.00022552
1.95503235,0.00018857
1.97887421,0.00015038
2.00271606,0.00017501
2.02655792,0.00005419
2.05039978,0.00021401
2.07424164,0.00044404
2.09808350,0.00052477
2.12192535,0.00038380
2.14576721,0.00015617
2.16960907,0.00014793
2.19345093,0.00022094
2.21729279,0.00019625
2.24113464,0.00013090
2.26497650,0.00006892
2.28881836,0.00005337
2.31266022,0.00007468
2.33650208,0.00014472
2.36034393,0.00029462
2.38418579,0.00027045
2.40802765,0.00019483
2.43186951,0.00005963
2.45571136,0.00012007
2.47955322,0.00006456
2.50339508,0.00013061
2.52723694,0.00009693
2.55107880,0.00015438
2.57492065,0.00012416
2.59876251,0.00018681
2.62260437,0.00022693
2.64644623,0.00019578
2.67028809,0.00032092
2.69412994,0.00024904
2.71797180,0.00019758
2.74181366,0.00017599
2.76565552,0.00002057
2.78949738,0.00019709
2.81333923,0.00014911
2.83718109,0.00008210
2.86102295,0.00003232
2.88486481,0.00014565
2.90870667,0.00019321
2.93254852,0.00022783
2.95639038,0.00042557
2.98023224,0.00083328
3.00407410,0.00093586
3.02791595,0.00046245
3.05175781,0.00020085
3.07559967,0.00021128
3.09944153,0.00027736
3.12328339,0.00043112
3.14712524,0.00032123
