Частота,A * B
(kГц),(?)

0.00000000,0.00222968
0.02384186,0.00095424
0.04768372,0.00019577
0.07152557,0.00015971
0.09536743,0.00016248
0.11920929,0.00011877
0.14305115,0.00016772
0.16689301,0.00012591
0.19073486,0.00019840
0.21457672,0.00023386
0.23841858,0.00020699
0.26226044,0.00021609
0.28610229,0.00017385
0.30994415,0.00017580
0.33378601,0.00023139
0.35762787,0.00019355
0.38146973,0.00010190
0.40531158,0.00018285
0.42915344,0.00019497
0.45299530,0.00004722
0.47683716,0.00009811
0.50067902,0.00013588
0.52452087,0.00012094
0.54836273,0.00001479
0.57220459,0.00013684
0.59604645,0.00014104
0.61988831,0.00005241
0.64373016,0.00016472
0.66757202,0.00029163
0.69141388,0.00019860
0.71525574,0.00014589
0.73909760,0.00019950
0.76293945,0.00016895
0.78678131,0.00037024
0.81062317,0.00035241
0.83446503,0.00020838
0.85830688,0.00019899
0.88214874,0.00015525
0.90599060,0.00008213
0.92983246,0.00004112
0.95367432,0.00030888
0.97751617,0.00082754
1.00135803,0.00104638
1.02519989,0.00055082
1.04904175,0.00009474
1.07288361,0.00004594
1.09672546,0.00009058
1.12056732,0.00025577
1.14440918,0.00031467
1.16825104,0.00026830
1.19209290,0.00019715
1.21593475,0.00008212
1.23977661,0.00001489
1.26361847,0.00007715
1.28746033,0.00015023
1.31130219,0.00017683
1.33514404,0.00013543
1.35898590,0.00010346
1.38282776,0.00007531
1.40666962,0.00007982
1.43051147,0.00007836
1.45435333,0.00013889
1.47819519,0.00006662
1.50203705,0.00003846
1.52587891,0.00009370
1.54972076,0.00018572
1.57356262,0.00022333
1.59740448,0.00007019
1.62124634,0.00007347
1.64508820,0.00006962
1.66893005,0.00010214
1.69277191,0.00012727
1.71661377,0.00012600
1.74045563,0.00016135
1.76429749,0.00030704
1.78813934,0.00026583
1.81198120,0.00013880
1.83582306,0.00009497
1.85966492,0.00009909
1.88350677,0.00012634
1.90734863,0.00019692
1.93119049,0.00017721
1.95503235,0.00016502
1.97887421,0.00014633
2.00271606,0.00008650
2.02655792,0.00009721
2.05039978,0.00017028
2.07424164,0.00020608
2.09808350,0.00011385
2.12192535,0.00009013
2.14576721,0.00017182
2.16960907,0.00026256
2.19345093,0.00026747
2.21729279,0.00021478
2.24113464,0.00013925
2.26497650,0.00002998
2.28881836,0.00002683
2.31266022,0.00007837
2.33650208,0.00014801
2.36034393,0.00007050
2.38418579,0.00005603
2.40802765,0.00010061
2.43186951,0.00016649
2.45571136,0.00008748
2.47955322,0.00009779
2.50339508,0.00016569
2.52723694,0.00015745
2.55107880,0.00017838
2.57492065,0.00024932
2.59876251,0.00013221
2.62260437,0.00002308
2.64644623,0.00014701
2.67028809,0.00018954
2.69412994,0.00034997
2.71797180,0.00035097
2.74181366,0.00036723
2.76565552,0.00034821
2.78949738,0.00015437
2.81333923,0.00014107
2.83718109,0.00005207
2.86102295,0.00016843
2.88486481,0.00021849
2.90870667,0.00017674
2.93254852,0.00017293
2.95639038,0.00023439
2.98023224,0.00071941
3.00407410,0.00102512
3.02791595,0.00054165
3.05175781,0.00009748
3.07559967,0.00003149
3.09944153,0.00004411
3.12328339,0.00015907
3.14712524,0.00015987
