Частота,A * B
(kГц),(?)

0.00000000,0.00119722
0.02384186,0.00039572
0.04768372,0.00031239
0.07152557,0.00030563
0.09536743,0.00022513
0.11920929,0.00019763
0.14305115,0.00028857
0.16689301,0.00032322
0.19073486,0.00031025
0.21457672,0.00019463
0.23841858,0.00009058
0.26226044,0.00004129
0.28610229,0.00004342
0.30994415,0.00010140
0.33378601,0.00025032
0.35762787,0.00025187
0.38146973,0.00017957
0.40531158,0.00013226
0.42915344,0.00006445
0.45299530,0.00017797
0.47683716,0.00027054
0.50067902,0.00031119
0.52452087,0.00018259
0.54836273,0.00005673
0.57220459,0.00015222
0.59604645,0.00018747
0.61988831,0.00007423
0.64373016,0.00012428
0.66757202,0.00018901
0.69141388,0.00014708
0.71525574,0.00013775
0.73909760,0.00010274
0.76293945,0.00017491
0.78678131,0.00011154
0.81062317,0.00006810
0.83446503,0.00013810
0.85830688,0.00016685
0.88214874,0.00011103
0.90599060,0.00015397
0.92983246,0.00025489
0.95367432,0.00021427
0.97751617,0.00028023
1.00135803,0.00068546
1.02519989,0.00037466
1.04904175,0.00012095
1.07288361,0.00019308
1.09672546,0.00018451
1.12056732,0.00012616
1.14440918,0.00006306
1.16825104,0.00004352
1.19209290,0.00012316
1.21593475,0.00008030
1.23977661,0.00012071
1.26361847,0.00013921
1.28746033,0.00025956
1.31130219,0.00019597
1.33514404,0.00017734
1.35898590,0.00022313
1.38282776,0.00005288
1.40666962,0.00008850
1.43051147,0.00008946
1.45435333,0.00021533
1.47819519,0.00029415
1.50203705,0.00022581
1.52587891,0.00009905
1.54972076,0.00017234
1.57356262,0.00017869
1.59740448,0.00015857
1.62124634,0.00008920
1.64508820,0.00012622
1.66893005,0.00021906
1.69277191,0.00016372
1.71661377,0.00016334
1.74045563,0.00027880
1.76429749,0.00032833
1.78813934,0.00018878
1.81198120,0.00012810
1.83582306,0.00009703
1.85966492,0.00017359
1.88350677,0.00021890
1.90734863,0.00012782
1.93119049,0.00012412
1.95503235,0.00027430
1.97887421,0.00030047
2.00271606,0.00019957
2.02655792,0.00018654
2.05039978,0.00027638
2.07424164,0.00027083
2.09808350,0.00025421
2.12192535,0.00017584
2.14576721,0.00015769
2.16960907,0.00017795
2.19345093,0.00016821
2.21729279,0.00016214
2.24113464,0.00016904
2.26497650,0.00012260
2.28881836,0.00006189
2.31266022,0.00010588
2.33650208,0.00042205
2.36034393,0.00042232
2.38418579,0.00020083
2.40802765,0.00005971
2.43186951,0.00026253
2.45571136,0.00013169
2.47955322,0.00016519
2.50339508,0.00022009
2.52723694,0.00027911
2.55107880,0.00039289
2.57492065,0.00038539
2.59876251,0.00022459
2.62260437,0.00008675
2.64644623,0.00010871
2.67028809,0.00021758
2.69412994,0.00021570
2.71797180,0.00008250
2.74181366,0.00008085
2.76565552,0.00013926
2.78949738,0.00015833
2.81333923,0.00008016
2.83718109,0.00010546
2.86102295,0.00016998
2.88486481,0.00004902
2.90870667,0.00016511
2.93254852,0.00017333
2.95639038,0.00002775
2.98023224,0.00058173
3.00407410,0.00092333
3.02791595,0.00047666
3.05175781,0.00009909
3.07559967,0.00021932
3.09944153,0.00024322
3.12328339,0.00015728
3.14712524,0.00027929
