Частота,A * B
(kГц),(?)

0.00000000,0.80000540
0.02384186,0.33680160
0.04768372,0.05395344
0.07152557,0.00000389
0.09536743,0.00000663
0.11920929,0.00000683
0.14305115,0.00000672
0.16689301,0.00000710
0.19073486,0.00000732
0.21457672,0.00000816
0.23841858,0.00000872
0.26226044,0.00000988
0.28610229,0.00001120
0.30994415,0.00001276
0.33378601,0.00001498
0.35762787,0.00001749
0.38146973,0.00002075
0.40531158,0.00002487
0.42915344,0.00003016
0.45299530,0.00003718
0.47683716,0.00004650
0.50067902,0.00005903
0.52452087,0.00007673
0.54836273,0.00010143
0.57220459,0.00013877
0.59604645,0.00019714
0.61988831,0.00028825
0.64373016,0.00043967
0.66757202,0.00069118
0.69141388,0.00095953
0.71525574,0.00249119
0.73909760,0.18894080
0.76293945,0.81327990
0.78678131,1.07026000
0.81062317,0.49329860
0.83446503,0.04991748
0.85830688,0.00056537
0.88214874,0.00086215
0.90599060,0.00056128
0.92983246,0.00036247
0.95367432,0.00024440
0.97751617,0.00017229
1.00135803,0.00012717
1.02519989,0.00009796
1.04904175,0.00007844
1.07288361,0.00006577
1.09672546,0.00005775
1.12056732,0.00005328
1.14440918,0.00005173
1.16825104,0.00005309
1.19209290,0.00005687
1.21593475,0.00006374
1.23977661,0.00007390
1.26361847,0.00008859
1.28746033,0.00010956
1.31130219,0.00013998
1.33514404,0.00018390
1.35898590,0.00025030
1.38282776,0.00035330
1.40666962,0.00051986
1.43051147,0.00079845
1.45435333,0.00124873
1.47819519,0.00149600
1.50203705,0.01416172
1.52587891,0.33187040
1.54972076,1.03906100
1.57356262,1.07792100
1.59740448,0.37711090
1.62124634,0.02059413
1.64508820,0.00142065
1.66893005,0.00127964
1.69277191,0.00081745
1.71661377,0.00052766
1.74045563,0.00035417
1.76429749,0.00024771
1.78813934,0.00017863
1.81198120,0.00013216
1.83582306,0.00009980
1.85966492,0.00007666
1.88350677,0.00005952
1.90734863,0.00004650
1.93119049,0.00003647
1.95503235,0.00002851
1.97887421,0.00002298
2.00271606,0.00001987
2.02655792,0.00002056
2.05039978,0.00002505
2.07424164,0.00003399
2.09808350,0.00004754
2.12192535,0.00006670
2.14576721,0.00009573
2.16960907,0.00014085
2.19345093,0.00021379
2.21729279,0.00033616
2.24113464,0.00052389
2.26497650,0.00043531
2.28881836,0.01959372
2.31266022,0.22933670
2.33650208,0.54066260
2.36034393,0.44248920
2.38418579,0.11400470
2.40802765,0.00236833
2.43186951,0.00060667
2.45571136,0.00045230
2.47955322,0.00028801
2.50339508,0.00018864
2.52723694,0.00012824
2.55107880,0.00009087
2.57492065,0.00006635
2.59876251,0.00004970
2.62260437,0.00003811
2.64644623,0.00002969
2.67028809,0.00002352
2.69412994,0.00001858
2.71797180,0.00001514
2.74181366,0.00001244
2.76565552,0.00001084
2.78949738,0.00001046
2.81333923,0.00001181
2.83718109,0.00001444
2.86102295,0.00001928
2.88486481,0.00002625
2.90870667,0.00003639
2.93254852,0.00005151
2.95639038,0.00007606
2.98023224,0.00011613
3.00407410,0.00018305
3.02791595,0.00027781
3.05175781,0.00002182
3.07559967,0.07842059
3.09944153,0.55806200
3.12328339,1.01318000
3.14712524,0.65132920
