Время,A * B
(mс),(?)

-0.93407390,-0.06774693
-0.93375390,-0.08335658
-0.93343390,-0.10677110
-0.93311390,-0.13018550
-0.93279390,-0.14579520
-0.93247390,-0.16920960
-0.93215390,-0.18481930
-0.93183390,-0.20823380
-0.93151390,-0.22384340
-0.93119390,-0.25208350
-0.93087390,-0.25508900
-0.93055390,-0.27850350
-0.93023390,-0.30959280
-0.92991390,-0.30972280
-0.92959390,-0.33423960
-0.92927390,-0.33313720
-0.92895390,-0.36710200
-0.92863390,-0.37531760
-0.92831390,-0.39174880
-0.92799390,-0.39996440
-0.92767390,-0.40818000
-0.92735390,-0.41639560
-0.92703390,-0.42461120
-0.92671390,-0.43282680
-0.92639390,-0.43282680
-0.92607390,-0.43282680
-0.92575390,-0.44104240
-0.92543390,-0.44925810
-0.92511390,-0.44925810
-0.92479390,-0.44925810
-0.92447390,-0.44104240
-0.92415390,-0.44104240
-0.92383390,-0.45446820
-0.92351390,-0.43282680
-0.92319390,-0.43282680
-0.92287390,-0.42461120
-0.92255390,-0.42858900
-0.92223390,-0.39996440
-0.92191390,-0.39996440
-0.92159390,-0.38353320
-0.92127390,-0.38545710
-0.92095390,-0.37683070
-0.92063390,-0.35957790
-0.92031390,-0.35095160
-0.91999390,-0.33369880
-0.91967390,-0.31644600
-0.91935390,-0.29056690
-0.91903390,-0.27331410
-0.91871390,-0.25603230
-0.91839390,-0.23877950
-0.91807390,-0.23207560
-0.91775390,-0.19564760
-0.91743390,-0.16976840
-0.91711390,-0.15977830
-0.91679390,-0.12663650
-0.91647390,-0.10555530
-0.91615390,-0.07487818
-0.91583390,-0.05762541
-0.91551390,-0.03325798
-0.91519390,-0.00614649
-0.91487390,0.01192784
-0.91455390,0.03903934
-0.91423390,0.06615083
-0.91391390,0.09326232
-0.91359390,0.11133660
-0.91327390,0.13844810
-0.91295390,0.16555960
-0.91263390,0.18363400
-0.91231390,0.20170830
-0.91199390,0.22881980
-0.91167390,0.24689410
-0.91135390,0.28646040
-0.91103390,0.29208000
-0.91071390,0.31018470
-0.91039390,0.32825910
-0.91007390,0.34633340
-0.90975390,0.36440770
-0.90943390,0.38248200
-0.90911390,0.41876350
-0.90879390,0.40959350
-0.90847390,0.43765940
-0.90815390,0.44710730
-0.90783390,0.46600320
-0.90751390,0.48489910
-0.90719390,0.46381650
-0.90687390,0.49434710
-0.90655390,0.50379500
-0.90623390,0.50379500
-0.90591390,0.50379500
-0.90559390,0.51324300
-0.90527390,0.51324300
-0.90495390,0.51324300
-0.90463390,0.51324300
-0.90431390,0.51324300
-0.90399390,0.50379500
-0.90367390,0.50379500
