kHz;mV
2.31862068;0.00249224
2.32458115;0.00083618
2.33054161;0.00023143
2.33650208;0.00018666
2.34246254;0.00019442
2.348423;0.00027477
2.35438347;0.00036164
2.36034393;0.00040428
2.3663044;0.00045845
2.37226486;0.00062351
2.37822533;0.00147293
2.38418579;0.00198973
2.39014626;0.00236496
2.39610672;0.00240494
2.40206718;0.00182485
2.40802765;0.00107221
2.41398811;0.00030179
2.41994858;0.00121297
2.42590904;0.0017634
2.43186951;0.00225627
2.43782997;0.0021867
2.44379044;0.00168541
2.4497509;0.00100188
2.45571136;0.00003527
2.46167183;0.00081678
2.46763229;0.00142584
2.47359276;0.00197718
2.47955322;0.00207063
2.48551369;0.00179886
2.49147415;0.00110948
2.49743462;0.0003493
2.50339508;0.00057209
2.50935555;0.00140104
2.51531601;0.0020075
2.52127647;0.00228968
2.52723694;0.00226464
2.5331974;0.00158835
2.53915787;0.00080897
2.54511833;0.00017004
2.5510788;0.00138207
2.55703926;0.00227821
2.56299973;0.00291592
2.56896019;0.00287412
2.57492065;0.00224596
2.58088112;0.00152598
2.58684158;0.00020778
2.59280205;0.00114413
2.59876251;0.00222769
2.60472298;0.00318611
2.61068344;0.0031098
2.61664391;0.00257067
2.62260437;0.00182531
2.62856483;0.0002993
2.6345253;0.00152348
2.64048576;0.00395957
2.64644623;0.00589556
2.65240669;0.00608697
2.65836716;0.00588568
2.66432762;0.00433675
2.67028809;0.00165021
2.67624855;0.00060537
2.68220901;0.00083693
2.68816948;0.00111304
2.69412994;0.00119164
2.70009041;0.00127082
2.70605087;0.00105033
2.71201134;0.00076463
2.7179718;0.00047687
2.72393227;0.00109953
2.72989273;0.00152615
2.7358532;0.00173815
2.74181366;0.00180926
2.74777412;0.00125028
2.75373459;0.00057479
2.75969505;0.00047117
2.76565552;0.00130008
2.77161598;0.00172056
2.77757645;0.00204819
2.78353691;0.00204142
2.78949738;0.00166191
2.79545784;0.00108595
2.8014183;0.00054693
2.80737877;0.00089973
2.81333923;0.00144463
2.8192997;0.00201786
2.82526016;0.00207937
2.83122063;0.00188319
2.83718109;0.00134872
2.84314156;0.00050951
2.84910202;0.00020267
2.85506248;0.00095374
2.86102295;0.00168282
2.86698341;0.00216417
2.87294388;0.00233401
2.87890434;0.00188986
2.88486481;0.00127445
2.89082527;0.00040996
2.89678574;0.00090025
2.9027462;0.00192039
2.90870667;0.00286766
2.91466713;0.00324563
2.92062759;0.00284725
2.92658806;0.00219381
2.93254852;0.0009495
2.93850899;0.00068497
2.94446945;0.00220396
2.95042992;0.00380266
2.95639038;0.00411161
2.96235085;0.0038118
2.96831131;0.00300668
2.97427177;0.00177719
2.98023224;0.01195171
2.9861927;0.05570044
2.99215317;0.1028903
2.99811363;0.1141219
3.0040741;0.1134027
3.01003456;0.09064371
3.01599503;0.03768411
3.02195549;0.00525273
3.02791595;0.0006663
3.03387642;0.00119357
3.03983688;0.0014949
3.04579735;0.00160167
3.05175781;0.00143539
3.05771828;0.00086953
3.06367874;0.00031432
3.06963921;0.00097228
3.07559967;0.0015912
3.08156013;0.00200485
3.0875206;0.00229643
3.09348106;0.00192266
3.09944153;0.00109884
3.10540199;0.0001161
3.11136246;0.00103805
3.11732292;0.00166033
3.12328339;0.00220697
3.12924385;0.00239712
3.13520432;0.00217011
3.14116478;0.00172847
3.14712524;0.00089315
3.15308571;0.00050539
3.15904617;0.00120806
3.16500664;0.00209045
3.1709671;0.00246313
3.17692757;0.00239987
3.18288803;0.00178545
3.1888485;0.00086694
3.19480896;0.00035555
3.20076942;0.00099847
3.20672989;0.00192915
3.21269035;0.00248588
3.21865082;0.00282699
3.22461128;0.00253189
3.23057175;0.00192715
3.23653221;0.00103594
3.24249268;0.00042142
3.24845314;0.00163388
3.2544136;0.00279077
3.26037407;0.00338062
3.26633453;0.00300653
3.272295;0.00248098
3.27825546;0.00125939
3.28421593;0.00055344
3.29017639;0.0020688
3.29613686;0.00390848
3.30209732;0.00463733
3.30805779;0.00425394
3.31401825;0.00362217
3.31997871;0.00179843
3.32593918;0.00029813
3.33189964;0.00018623
3.33786011;0.00058973
3.34382057;0.00088002
3.34978104;0.00094432
3.3557415;0.00075701
3.36170197;0.00043856
3.36766243;0.0005442
3.37362289;0.00075888
3.37958336;0.00133687
3.38554382;0.00154822
3.39150429;0.0016717
3.39746475;0.00144392
3.40342522;0.00086042
3.40938568;0.00023548
3.41534615;0.00079667
3.42130661;0.00150303
3.42726707;0.00196617
3.43322754;0.00245342
3.439188;0.00226312
3.44514847;0.00165144
3.45110893;0.00073708
3.4570694;0.00057959
3.46302986;0.00143577
3.46899033;0.00210169
3.47495079;0.00250419
3.48091125;0.0023341
3.48687172;0.00185556
3.49283218;0.0009401
3.49879265;0.00023984
3.50475311;0.00086287
3.51071358;0.00175175
3.51667404;0.00231142
3.52263451;0.00255142
3.52859497;0.00239041
3.53455544;0.00166765
3.5405159;0.00083774
3.54647636;0.00031622
3.55243683;0.00149382
3.55839729;0.00232146
3.56435776;0.00296251
3.57031822;0.00288121
3.57627869;0.0023753
3.58223915;0.00169561
3.58819962;0.00033014
3.59416008;0.00107086
3.60012054;0.00243849
3.60608101;0.00343585
3.61204147;0.0033357
3.61800194;0.0029372
3.6239624;0.00193562
3.62992287;0.00025039
3.63588333;0.0020492
3.6418438;0.00522591
3.64780426;0.00714729
3.65376472;0.00708206
3.65972519;0.00665869
3.66568565;0.00429035
3.67164612;0.0011203
3.67760658;0.00021775
3.68356705;0.0003358
3.68952751;0.00041481
3.69548798;0.00054591
3.70144844;0.00062893
3.70740891;0.00059153
3.71336937;0.00041057
3.71932983;0.00040769
3.7252903;0.00124872
3.73125076;0.00157822
3.73721123;0.00185698
3.74317169;0.00186684
3.74913216;0.00130133
3.75509262;0.00063017
3.76105309;0.00047463
3.76701355;0.00129552
3.77297401;0.00183527
3.77893448;0.00231665
3.78489494;0.00220125
3.79085541;0.0016976
3.79681587;0.00097586
3.80277634;0.00040635
3.8087368;0.00108805
3.81469727;0.00174187
3.82065773;0.00224012
3.82661819;0.00217852
3.83257866;0.00188604
3.83853912;0.00123287
3.84449959;0.0004299
3.85046005;0.00040125
3.85642052;0.0014159
3.86238098;0.00217985
3.86834145;0.00269058
3.87430191;0.00278595
3.88026237;0.00209667
3.88622284;0.00129701
3.8921833;0.00028839
3.89814377;0.00112252
3.90410423;0.00214419
3.9100647;0.00300395
3.91602516;0.00310975
3.92198563;0.00260689
3.92794609;0.0019606
3.93390656;0.00055891
3.93986702;0.0010428
3.94582748;0.00252176
3.95178795;0.00378347
3.95774841;0.00380953
3.96370888;0.00338847
3.96966934;0.00239425
3.97562981;0.00193261
3.98159027;0.01845997
3.98755074;0.06785212
3.9935112;0.1077708
3.99947166;0.1136936
4.00543213;0.111391
4.01139259;0.08012077
4.01735306;0.02777221
4.02331352;0.0035086
4.02927399;0.00130182
4.03523445;0.00149609
4.04119492;0.00146778
4.04715538;0.00139619
4.05311584;0.00103717
4.05907631;0.00045807
4.06503677;0.00043229
4.07099724;0.00133576
4.0769577;0.00178973
4.08291817;0.00207628
4.08887863;0.00205374
4.0948391;0.00154871
4.10079956;0.00083339
4.10676003;0.00020802
4.11272049;0.00117904
4.11868095;0.00173898
4.12464142;0.00224479
4.13060188;0.00225343
4.13656235;0.00184943
4.14252281;0.00124157
4.14848328;0.000341
4.15444374;0.00044856
4.16040421;0.00113035
4.16636467;0.00187014
4.17232513;0.00213547
4.1782856;0.00213012
4.18424606;0.00163597
4.19020653;0.00082131
4.19616699;0.00033105
4.20212746;0.00128482
4.20808792;0.00223328
4.21404839;0.00286581
4.22000885;0.00305399
4.22596931;0.00243583
4.23192978;0.00170848
4.23789024;0.00071128
4.24385071;0.00073156
4.24981117;0.00181546
4.25577164;0.00295592
4.2617321;0.00345508
4.26769257;0.0030712
4.27365303;0.00255545
4.27961349;0.00119176
4.28557396;0.0008819
4.29153442;0.00293875
4.29749489;0.0051596
4.30345535;0.00579319
4.30941582;0.00547402
4.31537628;0.00452135
4.32133675;0.00209934
4.32729721;0.00058423
4.33325768;0.00098473
4.33921814;0.00193858
4.3451786;0.00217783
4.35113907;0.00217378
4.35709953;0.00171577
4.36306;0.00073801
4.36902046;0.00054279
4.37498093;0.00106362
4.38094139;0.00154535
4.38690186;0.00164893
4.39286232;0.00175466
4.39882278;0.00146332
4.40478325;0.0009206
4.41074371;0.00028078
4.41670418;0.00076868
4.42266464;0.00141198
4.42862511;0.00183976
4.43458557;0.00214766
4.44054604;0.00182074
4.4465065;0.0012308
4.45246696;0.0003569
4.45842743;0.00070497
4.46438789;0.00139564
4.47034836;0.00201464
4.47630882;0.00231446
4.48226929;0.0021337
4.48822975;0.00164999
4.49419022;0.00083676
4.50015068;0.00046596
4.50611115;0.00089287
4.51207161;0.00164555
4.51803207;0.00208364
4.52399254;0.00222243
4.529953;0.00184814
4.53591347;0.00110207
4.54187393;0.00038428
4.5478344;0.00081156
4.55379486;0.00177584
4.55975533;0.00255205
4.56571579;0.00304289
4.57167625;0.00267773
4.57763672;0.00210174
4.58359718;0.00123147
4.58955765;0.00023921
4.59551811;0.00151871
4.60147858;0.00283995
4.60743904;0.00356741
4.61339951;0.00320763
4.61935997;0.00263719
4.62532043;0.00124988
4.6312809;0.00089301
4.63724136;0.00359697
4.64320183;0.0071573
4.64916229;0.00860508
4.65512276;0.00838618
4.66108322;0.00751117
4.66704369;0.0041048
4.67300415;0.00074526
4.67896461;0.00038539
4.68492508;0.00038342
4.69088554;0.00029371
4.69684601;0.00016423
4.70280647;0.00003611
4.70876694;0.00010101
4.7147274;0.00027101
4.72068787;0.00082759
4.72664833;0.00145463
4.7326088;0.00170097
4.73856926;0.00187163
4.74452972;0.00167196
4.75049019;0.00121657
4.75645065;0.00062187
4.76241112;0.00039408
4.76837158;0.00099036
4.77433205;0.00133945
4.78029251;0.00168758
4.78625298;0.00157759
4.79221344;0.00119724
4.7981739;0.0005412
4.80413437;0.00041267
4.81009483;0.00103709
4.8160553;0.00164259
4.82201576;0.00199831
4.82797623;0.00193005
4.83393669;0.00160987
4.83989716;0.00083286
4.84585762;0.00009422
4.85181808;0.00064397
4.85777855;0.00155006
4.86373901;0.00216479
4.86969948;0.00252508
4.87565994;0.00241266
4.88162041;0.00165237
4.88758087;0.00088668
4.89354134;0.00021487
4.8995018;0.00127972
4.90546227;0.00218609
4.91142273;0.00288762
4.91738319;0.00272376
4.92334366;0.00217067
4.92930412;0.00146326
4.93526459;0.00049933
4.94122505;0.00171687
4.94718552;0.00336081
4.95314598;0.00450987
4.95910645;0.00432129
4.96506691;0.00380193
4.97102737;0.00257469
4.97698784;0.003412
4.9829483;0.02721091
4.98890877;0.07952954
4.99486923;0.1107231
5.0008297;0.1132446
5.00679016;0.1073923
5.01275063;0.06762907
5.01871109;0.01870551
5.02467155;0.00166086
5.03063202;0.00072758
5.03659248;0.00097044
5.04255295;0.00110009
5.04851341;0.00113732
5.05447388;0.00093533
5.06043434;0.00068827
5.06639481;0.00039381
5.07235527;0.00102972
5.07831573;0.0013661
5.0842762;0.00167177
5.09023666;0.0017267
5.09619713;0.00138244
5.10215759;0.00091158
5.10811806;0.00022798
5.11407852;0.00088041
5.12003899;0.00147287
5.12599945;0.00203745
5.13195992;0.00213696
5.13792038;0.00191158
5.14388084;0.00131982
5.14984131;0.00035696
5.15580177;0.00041385
5.16176224;0.00125782
5.1677227;0.00205849
5.17368317;0.00233539
5.17964363;0.00220876
5.1856041;0.00155173
5.19156456;0.00072367
5.19752502;0.00055655
5.20348549;0.00147855
5.20944595;0.00218127
5.21540642;0.00272053
5.22136688;0.00278796
5.22732735;0.00212176
5.23328781;0.00139827
5.23924828;0.00039337
5.24520874;0.00127942
5.2511692;0.00247957
5.25712967;0.00357629
5.26309013;0.00365093
5.2690506;0.0030802
5.27501106;0.00230805
5.28097153;0.00065066
5.28693199;0.00140703
5.29289246;0.00353599
5.29885292;0.00546631
5.30481339;0.00559961
5.31077385;0.00517739
5.31673431;0.0038873
5.32269478;0.00135573
5.32865524;0.0004498
5.33461571;0.00180442
5.34057617;0.0030116
5.34653664;0.00327934
5.3524971;0.00322602
5.35845757;0.00221313
5.36441803;0.00071565
5.37037849;0.00030086
5.37633896;0.00079189
5.38229942;0.00115133
5.38825989;0.00128531
5.39422035;0.00128591
5.40018082;0.00083859
5.40614128;0.00036825
5.41210175;0.00066761
5.41806221;0.00141312
5.42402267;0.00165874
5.42998314;0.00178582
5.4359436;0.00171659
5.44190407;0.00131396
5.44786453;0.00086656
5.453825;0.00015744
5.45978546;0.00079009
5.46574593;0.00131834
5.47170639;0.00189221
5.47766685;0.00210136
5.48362732;0.00196664
5.48958778;0.00140137
5.49554825;0.00044821
5.50150871;0.00057393
5.50746918;0.00134486
5.51342964;0.0021543
5.51939011;0.00244195
5.52535057;0.00238148
5.53131104;0.00176819
5.5372715;0.00092622
5.54323196;0.00031836
5.54919243;0.00110952
5.55515289;0.00199051
5.56111336;0.0026658
5.56707382;0.00299405
5.57303429;0.00250791
5.57899475;0.00183548
5.58495522;0.00070288
5.59091568;0.00085923
5.59687614;0.0022623
5.60283661;0.00372163
5.60879707;0.00420297
5.61475754;0.00373837
5.620718;0.00311895
5.62667847;0.00139588
5.63263893;0.0010528
5.6385994;0.00463322
5.64455986;0.00863108
5.65052032;0.00967467
5.65648079;0.00933138
5.66244125;0.00767866
5.66840172;0.00321709
5.67436218;0.0002707
5.68032265;0.00029686
5.68628311;0.00018904
5.69224358;0.00039846
5.69820404;0.00059466
5.70416451;0.000532
5.71012497;0.00034985
5.71608543;0.00024687
5.7220459;0.00062562
5.72800636;0.00122436
5.73396683;0.00159498
5.73992729;0.00181996
5.74588776;0.00147212
5.75184822;0.00091666
5.75780869;0.0001463
5.76376915;0.00093078
5.76972961;0.00148264
5.77569008;0.00177541
5.78165054;0.00194898
5.78761101;0.0016905
5.79357147;0.00125546
5.79953194;0.00047066
5.8054924;0.00050153
5.81145287;0.00114329
5.81741333;0.00190835
5.82337379;0.00232679
5.82933426;0.00219966
5.83529472;0.00167271
5.84125519;0.00073434
5.84721565;0.0005471
5.85317612;0.00115091
5.85913658;0.00184581
5.86509705;0.00223054
5.87105751;0.00240734
5.87701797;0.00212355
5.88297844;0.00147958
5.8889389;0.00090253
5.89489937;0.00063162
5.90085983;0.00150158
5.9068203;0.00235524
5.91278076;0.00284048
5.91874123;0.00246476
5.92470169;0.00189181
5.93066216;0.00097441
5.93662262;0.00070185
5.94258308;0.00223286
5.94854355;0.00414984
5.95450401;0.0051363
5.96046448;0.00486658
5.96642494;0.00410062
5.97238541;0.00235308
5.97834587;0.00538335
5.98430634;0.03696347
5.9902668;0.08908504
5.99622726;0.1114554
6.00218773;0.1125605
6.00814819;0.1016922
6.01410866;0.05527603
6.02006912;0.01223231
6.02602959;0.00103323
6.03199005;0.00064406
6.03795052;0.00064255
6.04391098;0.00062818
6.04987144;0.00073923
6.05583191;0.00058476
6.06179237;0.00040212
6.06775284;0.00047385
6.0737133;0.00114465
6.07967377;0.00142393
6.08563423;0.00158144
6.0915947;0.00142351
6.09755516;0.00090815
6.10351563;0.00037908
6.10947609;0.00081394
6.11543655;0.00134085
6.12139702;0.00171583
6.12735748;0.00206456
6.13331795;0.00201051
6.13927841;0.00165368
6.14523888;0.00096696
6.15119934;0.00011459
6.15715981;0.00075941
6.16312027;0.00155697
6.16908073;0.00204065
6.1750412;0.00212059
6.18100166;0.00180818
6.18696213;0.00103576
6.19292259;0.00029488
6.19888306;0.00055466
6.20484352;0.00154453
6.21080399;0.00218835
6.21676445;0.00272069
6.22272491;0.00268703
6.22868538;0.00198461
6.23464584;0.00112241
6.24060631;0.00022748
6.24656677;0.00152337
6.25252724;0.00268023
6.2584877;0.00352833
6.26444817;0.00323992
6.27040863;0.002621
6.27636909;0.00171612
6.28232956;0.00007113
6.28829002;0.00202145
6.29425049;0.00450702
6.30021095;0.00629842
6.30617142;0.00631183
6.31213188;0.00589504
6.31809235;0.00398139
6.32405281;0.00116422
6.33001328;0.00086657
6.33597374;0.0028719
6.3419342;0.00418118
6.34789467;0.00444712
6.35385513;0.00426041
6.3598156;0.00271196
6.36577606;0.00088964
6.37173653;0.00044878
6.37769699;0.0007201
6.38365746;0.00088289
6.38961792;0.00097136
6.39557838;0.00099014
6.40153885;0.00076263
6.40749931;0.00042019
6.41345978;0.00047137
6.41942024;0.00108297
6.42538071;0.00132689
6.43134117;0.00154954
6.43730164;0.00153037
6.4432621;0.00124309
6.44922256;0.00083789
6.45518303;0.00010065
6.46114349;0.00066765
6.46710396;0.00123325
6.47306442;0.00183686
6.47902489;0.00207765
6.48498535;0.00195209
6.49094582;0.00139653
6.49690628;0.0005504
6.50286674;0.00022616
6.50882721;0.00114726
6.51478767;0.00188368
6.52074814;0.00225225
6.5267086;0.00231339
6.53266907;0.00175124
6.53862953;0.00104779
6.54459;0.00023512
6.55055046;0.00094038
6.55651093;0.0018512
6.56247139;0.00261275
6.56843185;0.0028184
6.57439232;0.00234292
6.58035278;0.00177789
6.58631325;0.0006225
6.59227371;0.00087997
6.59823418;0.00234594
6.60419464;0.00371926
6.61015511;0.00390618
6.61611557;0.00339878
6.62207603;0.00253884
6.6280365;0.00059695
6.63399696;0.00200816
6.63995743;0.00631229
6.64591789;0.01025863
6.65187836;0.01075759
6.65783882;0.01029508
6.66379929;0.00773796
6.66975975;0.00262925
6.67572021;0.00012484
6.68168068;0.00045892
6.68764114;0.00108467
6.69360161;0.0013486
6.69956207;0.00143318
6.70552254;0.00111007
6.711483;0.00059969
6.71744347;0.00056274
6.72340393;0.00097691
6.7293644;0.00123636
6.73532486;0.0013002
6.74128532;0.00126375
6.74724579;0.00084976
6.75320625;0.00040726
6.75916672;0.00028935
6.76512718;0.00108685
6.77108765;0.00150994
6.77704811;0.00189178
6.78300858;0.00211266
6.78896904;0.0018988
6.7949295;0.00147435
6.80088997;0.00062857
6.80685043;0.00051944
6.8128109;0.00111081
6.81877136;0.00183393
6.82473183;0.00214241
6.83069229;0.00201059
6.83665276;0.00154084
6.84261322;0.00068079
6.84857368;0.00029818
6.85453415;0.00115354
6.86049461;0.00187525
6.86645508;0.00234177
6.87241554;0.00253016
6.87837601;0.0020229
6.88433647;0.001165
6.89029694;0.00017036
6.8962574;0.00121535
6.90221786;0.00236657
6.90817833;0.00344683
6.91413879;0.00374812
6.92009926;0.00310765
6.92605972;0.00243259
6.93202019;0.00124083
6.93798065;0.00058826
6.94394112;0.00225482
