Частота,A * B
(kГц),(?)

0.00000000,0.00125266
0.02384186,0.00050932
0.04768372,0.00009060
0.07152557,0.00006079
0.09536743,0.00013795
0.11920929,0.00015720
0.14305115,0.00022967
0.16689301,0.00025238
0.19073486,0.00011463
0.21457672,0.00009395
0.23841858,0.00017039
0.26226044,0.00010024
0.28610229,0.00005892
0.30994415,0.00007643
0.33378601,0.00018021
0.35762787,0.00015373
0.38146973,0.00008356
0.40531158,0.00010571
0.42915344,0.00008292
0.45299530,0.00014437
0.47683716,0.00015712
0.50067902,0.00015957
0.52452087,0.00005311
0.54836273,0.00011477
0.57220459,0.00003176
0.59604645,0.00011346
0.61988831,0.00014311
0.64373016,0.00017746
0.66757202,0.00016530
0.69141388,0.00007459
0.71525574,0.00001299
0.73909760,0.00004040
0.76293945,0.00013929
0.78678131,0.00012534
0.81062317,0.00001140
0.83446503,0.00006433
0.85830688,0.00011802
0.88214874,0.00012823
0.90599060,0.00007002
0.92983246,0.00002179
0.95367432,0.00003079
0.97751617,0.00030441
1.00135803,0.00052936
1.02519989,0.00029267
1.04904175,0.00003028
1.07288361,0.00004926
1.09672546,0.00000111
1.12056732,0.00011079
1.14440918,0.00028244
1.16825104,0.00033505
1.19209290,0.00022566
1.21593475,0.00017305
1.23977661,0.00024963
1.26361847,0.00008304
1.28746033,0.00010762
1.31130219,0.00010647
1.33514404,0.00022129
1.35898590,0.00024139
1.38282776,0.00009427
1.40666962,0.00008119
1.43051147,0.00015379
1.45435333,0.00012516
1.47819519,0.00001180
1.50203705,0.00010771
1.52587891,0.00014126
1.54972076,0.00031266
1.57356262,0.00027865
1.59740448,0.00005948
1.62124634,0.00026465
1.64508820,0.00034734
1.66893005,0.00024440
1.69277191,0.00010669
1.71661377,0.00009506
1.74045563,0.00016295
1.76429749,0.00024076
1.78813934,0.00014941
1.81198120,0.00004895
1.83582306,0.00009940
1.85966492,0.00010441
1.88350677,0.00010615
1.90734863,0.00017188
1.93119049,0.00020340
1.95503235,0.00012616
1.97887421,0.00006762
2.00271606,0.00022104
2.02655792,0.00017298
2.05039978,0.00005359
2.07424164,0.00002405
2.09808350,0.00008456
2.12192535,0.00015272
2.14576721,0.00019967
2.16960907,0.00028428
2.19345093,0.00024512
2.21729279,0.00019609
2.24113464,0.00016560
2.26497650,0.00015946
2.28881836,0.00020209
2.31266022,0.00023453
2.33650208,0.00036566
2.36034393,0.00039236
2.38418579,0.00024277
2.40802765,0.00014479
2.43186951,0.00008174
2.45571136,0.00001894
2.47955322,0.00006166
2.50339508,0.00011615
2.52723694,0.00015649
2.55107880,0.00024893
2.57492065,0.00024481
2.59876251,0.00006308
2.62260437,0.00021812
2.64644623,0.00030932
2.67028809,0.00030458
2.69412994,0.00015752
2.71797180,0.00001397
2.74181366,0.00002004
2.76565552,0.00002807
2.78949738,0.00007548
2.81333923,0.00010370
2.83718109,0.00002870
2.86102295,0.00001314
2.88486481,0.00002309
2.90870667,0.00011334
2.93254852,0.00013025
2.95639038,0.00003682
2.98023224,0.00021509
3.00407410,0.00032498
3.02791595,0.00017194
3.05175781,0.00001955
3.07559967,0.00002719
3.09944153,0.00016506
3.12328339,0.00019209
3.14712524,0.00008907
