Частота,A * B
(kГц),(?)

0.00000000,0.00043673
0.02384186,0.00018081
0.04768372,0.00009605
0.07152557,0.00016018
0.09536743,0.00011523
0.11920929,0.00002451
0.14305115,0.00002883
0.16689301,0.00010972
0.19073486,0.00014274
0.21457672,0.00010417
0.23841858,0.00013623
0.26226044,0.00005681
0.28610229,0.00003223
0.30994415,0.00010671
0.33378601,0.00020695
0.35762787,0.00023837
0.38146973,0.00016236
0.40531158,0.00012591
0.42915344,0.00014271
0.45299530,0.00009737
0.47683716,0.00000563
0.50067902,0.00009602
0.52452087,0.00011883
0.54836273,0.00002273
0.57220459,0.00008699
0.59604645,0.00007628
0.61988831,0.00011757
0.64373016,0.00018292
0.66757202,0.00016745
0.69141388,0.00014053
0.71525574,0.00007180
0.73909760,0.00009281
0.76293945,0.00022882
0.78678131,0.00020490
0.81062317,0.00014798
0.83446503,0.00016524
0.85830688,0.00009441
0.88214874,0.00005867
0.90599060,0.00013511
0.92983246,0.00013273
0.95367432,0.00015453
0.97751617,0.00023246
1.00135803,0.00029067
1.02519989,0.00015698
1.04904175,0.00005085
1.07288361,0.00001931
1.09672546,0.00008652
1.12056732,0.00010281
1.14440918,0.00013566
1.16825104,0.00019088
1.19209290,0.00014089
1.21593475,0.00003245
1.23977661,0.00015394
1.26361847,0.00019453
1.28746033,0.00011216
1.31130219,0.00011519
1.33514404,0.00026769
1.35898590,0.00030558
1.38282776,0.00013023
1.40666962,0.00003841
1.43051147,0.00010188
1.45435333,0.00016831
1.47819519,0.00011276
1.50203705,0.00013395
1.52587891,0.00015767
1.54972076,0.00015481
1.57356262,0.00026044
1.59740448,0.00016875
1.62124634,0.00012418
1.64508820,0.00013820
1.66893005,0.00017902
1.69277191,0.00022993
1.71661377,0.00024525
1.74045563,0.00012205
1.76429749,0.00009408
1.78813934,0.00015568
1.81198120,0.00012555
1.83582306,0.00010003
1.85966492,0.00002973
1.88350677,0.00006715
1.90734863,0.00016167
1.93119049,0.00011821
1.95503235,0.00005326
1.97887421,0.00013539
2.00271606,0.00010965
2.02655792,0.00007706
2.05039978,0.00012040
2.07424164,0.00014182
2.09808350,0.00016856
2.12192535,0.00012390
2.14576721,0.00008644
2.16960907,0.00020455
2.19345093,0.00009787
2.21729279,0.00007132
2.24113464,0.00023545
2.26497650,0.00033776
2.28881836,0.00023338
2.31266022,0.00021683
2.33650208,0.00028743
2.36034393,0.00013129
2.38418579,0.00014053
2.40802765,0.00018643
2.43186951,0.00003634
2.45571136,0.00014472
2.47955322,0.00016703
2.50339508,0.00005623
2.52723694,0.00004683
2.55107880,0.00013702
2.57492065,0.00015893
2.59876251,0.00014155
2.62260437,0.00020373
2.64644623,0.00015586
2.67028809,0.00010911
2.69412994,0.00007924
2.71797180,0.00009098
2.74181366,0.00001870
2.76565552,0.00013062
2.78949738,0.00008982
2.81333923,0.00005700
2.83718109,0.00012056
2.86102295,0.00005356
2.88486481,0.00004266
2.90870667,0.00009876
2.93254852,0.00006659
2.95639038,0.00011700
2.98023224,0.00022007
3.00407410,0.00020092
3.02791595,0.00007595
3.05175781,0.00002958
3.07559967,0.00006134
3.09944153,0.00013717
3.12328339,0.00020955
3.14712524,0.00009850
