2,1,10,31.90,32.00,32.00,31.98
2,2,15,21.32,21.42,21.38,21.23
5,3,20,40.44,40.69,40.41,40.57
5,4,25,34.91,35.19,35.09,35.02
5,5,30,32.91,32.97,33.06,32.95
5,6,35,31.38,31.40,31.47,31.47
