0.5,1,10,42.85,42.12,42.19,41.92
0.5,2,15,26.12,25.8,26.03,25.79
1,3,20,37.69,36.44,37.78,36.25
1,4,25,29.12,28.32,28.25,29.07
1.5,5,30,35.69,35.29,35.81,35.63
1.5,6,35,30.28,29.62,29.41,29.96
2,7,40,35.09,35.25,35.22,35.28
2,8,45,30.59,30.75,30.71,30.41
2.5,9,50,34.78,34.55,34.52,34.49
2.5,10,60,30.02,30.08,29.45,29.92
3,11,65,33.56,33.72,33.49,33.49
3,12,70,32.25,32.1,32.12,32.17
3,13,75,31.55,31.29,31.36,31.3
