Время,A * B
(mс),(?)

-1.00014918,0.06505834
-0.99982918,0.05656501
-0.99950918,0.04807168
-0.99918918,0.03108502
-0.99886918,0.02259169
-0.99854918,0.01023544
-0.99822918,-0.00288830
-0.99790918,-0.01623706
-0.99758918,-0.02947331
-0.99726918,-0.03829748
-0.99694918,-0.05153374
-0.99662918,-0.06476999
-0.99630918,-0.07359415
-0.99598918,-0.08683040
-0.99566918,-0.09565457
-0.99534918,-0.10889080
-0.99502918,-0.11771500
-0.99470918,-0.13128340
-0.99438918,-0.13979030
-0.99406918,-0.15418630
-0.99374918,-0.15743860
-0.99342918,-0.17707380
-0.99310918,-0.18165130
-0.99278918,-0.19080630
-0.99246918,-0.19996130
-0.99214918,-0.20453890
-0.99182918,-0.22141620
-0.99150918,-0.21827140
-0.99118918,-0.22284890
-0.99086918,-0.23564490
-0.99054918,-0.24038780
-0.99022918,-0.24513080
-0.98990918,-0.24987370
-0.98958918,-0.24987370
-0.98926918,-0.24987370
-0.98894918,-0.25935950
-0.98862918,-0.25935950
-0.98830918,-0.25935950
-0.98798918,-0.26349680
-0.98766918,-0.25461660
-0.98734918,-0.25461660
-0.98702918,-0.24987370
-0.98670918,-0.25858850
-0.98638918,-0.24513080
-0.98606918,-0.24877180
-0.98574918,-0.24877180
-0.98542918,-0.23895520
-0.98510918,-0.23404680
-0.98478918,-0.22913850
-0.98446918,-0.21932180
-0.98414918,-0.21441340
-0.98382918,-0.20459680
-0.98350918,-0.19478010
-0.98318918,-0.19627070
-0.98286918,-0.18005510
-0.98254918,-0.16533010
-0.98222918,-0.16075440
-0.98190918,-0.15058980
-0.98158918,-0.14044230
-0.98126918,-0.12522100
-0.98094918,-0.11507350
-0.98062918,-0.09985225
-0.98030918,-0.08463098
-0.97998918,-0.07448346
-0.97966918,-0.05926219
-0.97934918,-0.04911466
-0.97902918,-0.03389339
-0.97870918,-0.01867211
-0.97838918,-0.00356335
-0.97806918,0.00691501
-0.97774918,0.02263254
-0.97742918,0.03956091
-0.97710918,0.05406760
-0.97678918,0.06658389
-0.97646918,0.08279767
-0.97614918,0.09598102
-0.97582918,0.10645940
-0.97550918,0.12603440
-0.97518918,0.13684360
-0.97486918,0.15305740
-0.97454918,0.16386660
-0.97422918,0.17467580
-0.97390918,0.19090780
-0.97358918,0.19631240
-0.97326918,0.21252620
-0.97294918,0.21793070
-0.97262918,0.22873990
-0.97230918,0.23954910
-0.97198918,0.24495370
-0.97166918,0.26359110
-0.97134918,0.26916110
-0.97102918,0.27473110
-0.97070918,0.28587110
-0.97038918,0.29144110
-0.97006918,0.29144110
-0.96974918,0.29701120
-0.96942918,0.30258120
-0.96910918,0.30258120
-0.96878918,0.30258120
-0.96846918,0.31156720
-0.96814918,0.31730270
-0.96782918,0.31156720
-0.96750918,0.31156720
-0.96718918,0.30583180
-0.96686918,0.30583180
-0.96654918,0.30583180
-0.96622918,0.30009640
-0.96590918,0.29436090
-0.96558918,0.28289010
-0.96526918,0.29104910
-0.96494918,0.27141920
-0.96462918,0.26568380
-0.96430918,0.25421290
-0.96398918,0.24274200
-0.96366918,0.23700660
-0.96334918,0.23204050
-0.96302918,0.22023880
-0.96270918,0.21428030
-0.96238918,0.19663540
-0.96206918,0.17891300
-0.96174918,0.16711130
-0.96142918,0.15966340
-0.96110918,0.14146460
-0.96078918,0.12933210
-0.96046918,0.11719950
-0.96014918,0.09900071
-0.95982918,0.08080190
-0.95950918,0.06260309
-0.95918918,0.04440428
-0.95886918,0.03227174
-0.95854918,0.01407293
-0.95822918,-0.00412588
-0.95790918,-0.01670176
-0.95758918,-0.03445723
-0.95726918,-0.05265604
-0.95694918,-0.07278696
-0.95662918,-0.09148203
-0.95630918,-0.10394540
-0.95598918,-0.12264050
-0.95566918,-0.13510380
-0.95534918,-0.15379890
-0.95502918,-0.16626230
-0.95470918,-0.17872570
-0.95438918,-0.19744170
-0.95406918,-0.20367340
-0.95374918,-0.22827120
-0.95342918,-0.24106540
-0.95310918,-0.25385960
