MHz;V
0.10147095;0.00011144
0.10185242;0.0001008
0.10223389;0.00007551
0.10261536;0.00007163
0.10299683;0.00008656
0.1033783;0.00011006
0.10375977;0.00011907
0.10414124;0.00012026
0.10452271;0.00013325
0.10490417;0.00014733
0.10528564;0.00015539
0.10566711;0.00015466
0.10604858;0.00013653
0.10643005;0.00011355
0.10681152;0.00008652
0.10719299;0.00007791
0.10757446;0.00010591
0.10795593;0.00013089
0.1083374;0.00013346
0.10871887;0.00010506
0.10910034;0.00003239
0.10948181;0.00005339
0.10986328;0.00010431
0.11024475;0.00008481
0.11062622;0.00003598
0.11100769;0.00001256
0.11138916;0.00005982
0.11177063;0.00010028
0.1121521;0.00012459
0.11253357;0.00013499
0.11291504;0.00012832
0.11329651;0.00010662
0.11367798;0.00006773
0.11405945;0.00001343
0.11444092;0.00003795
0.11482239;0.00006741
0.11520386;0.00009285
0.11558533;0.00010592
0.1159668;0.00011074
0.11634827;0.00011064
0.11672974;0.00009844
0.11711121;0.00010507
0.11749268;0.00009056
0.11787415;0.00005392
0.11825562;0.00000518
0.11863708;0.00006126
0.11901855;0.00011757
0.11940002;0.0001359
0.11978149;0.00011073
0.12016296;0.00005052
0.12054443;0.00003561
0.1209259;0.00006909
0.12130737;0.00007218
0.12168884;0.00006023
0.12207031;0.00003795
0.12245178;0.00001789
0.12283325;0.00003342
0.12321472;0.00001046
0.12359619;0.00002551
0.12397766;0.00005944
0.12435913;0.0000929
0.1247406;0.00011477
0.12512207;0.000121
0.12550354;0.000095
0.12588501;0.00005439
0.12626648;0.00002832
0.12664795;0.00002196
0.12702942;0.00003177
0.12741089;0.00003619
0.12779236;0.00002041
0.12817383;0.00000828
0.1285553;0.00005256
0.12893677;0.00008717
0.12931824;0.00010057
0.12969971;0.00009673
0.13008118;0.0000723
0.13046265;0.00004991
0.13084412;0.00004711
0.13122559;0.00003727
0.13160706;0.00004792
0.13198853;0.00008969
0.13237;0.00014173
0.13275146;0.00019828
0.13313293;0.00025253
0.1335144;0.00025587
0.13389587;0.00021476
0.13427734;0.00014504
0.13465881;0.00007423
0.13504028;0.00002959
0.13542175;0.00003427
0.13580322;0.00000493
0.13618469;0.00001449
0.13656616;0.00000779
0.13694763;0.00003287
0.1373291;0.00005512
0.13771057;0.00004496
0.13809204;0.00007804
0.13847351;0.00012317
0.13885498;0.00012892
0.13923645;0.00012007
0.13961792;0.00010567
0.13999939;0.00006267
0.14038086;0.0000479
0.14076233;0.00006739
0.1411438;0.00007689
0.14152527;0.00007704
0.14190674;0.00006742
0.14228821;0.00005895
0.14266968;0.00005788
0.14305115;0.00006395
0.14343262;0.00009366
0.14381409;0.00015023
0.14419556;0.0001737
0.14457703;0.00016608
0.1449585;0.0001471
0.14533997;0.00010435
0.14572144;0.00011058
0.14610291;0.0001421
0.14648438;0.00014716
0.14686584;0.00012134
0.14724731;0.00006692
0.14762878;0.00007054
0.14801025;0.0001044
0.14839172;0.0001111
0.14877319;0.00007963
0.14915466;0.00002943
0.14953613;0.00000657
0.1499176;0.00002344
0.15029907;0.00003549
0.15068054;0.00002831
0.15106201;0.00002922
0.15144348;0.00005463
0.15182495;0.00007967
0.15220642;0.00009692
0.15258789;0.00010226
0.15296936;0.00010127
0.15335083;0.00007977
0.1537323;0.00003716
0.15411377;0.00001683
0.15449524;0.00006419
0.15487671;0.00013155
0.15525818;0.00016207
0.15563965;0.00017634
0.15602112;0.00019117
0.15640259;0.00014543
0.15678406;0.00011015
0.15716553;0.00011638
0.157547;0.00010978
0.15792847;0.00010982
0.15830994;0.00008484
0.15869141;0.00005044
0.15907288;0.00007815
0.15945435;0.0001091
0.15983582;0.00011177
0.16021729;0.0000918
0.16059875;0.00008303
0.16098022;0.00010627
0.16136169;0.00011015
0.16174316;0.0000972
0.16212463;0.00008252
0.1625061;0.00005173
0.16288757;0.0000112
0.16326904;0.00001402
0.16365051;0.00003468
0.16403198;0.00006031
0.16441345;0.00062356
0.16479492;0.00254583
0.16517639;0.00660244
0.16555786;0.0137664
0.16593933;0.02047177
0.1663208;0.0251835
0.16670227;0.02703567
0.16708374;0.02340734
0.16746521;0.01724258
0.16784668;0.01081478
0.16822815;0.00533698
0.16860962;0.00221897
0.16899109;0.0005044
0.16937256;0.00002572
0.16975403;0.00003507
0.1701355;0.00002612
0.17051697;0.00002396
0.17089844;0.00005408
0.17127991;0.00008199
0.17166138;0.00009473
0.17204285;0.00010715
0.17242432;0.00009311
0.17280579;0.00007333
0.17318726;0.00008422
0.17356873;0.00010212
0.1739502;0.00009551
0.17433167;0.00007104
0.17471313;0.00005539
0.1750946;0.00009088
0.17547607;0.00010364
0.17585754;0.00010104
0.17623901;0.00010946
0.17662048;0.0001105
0.17700195;0.00015457
0.17738342;0.00018603
0.17776489;0.00016359
0.17814636;0.00014689
0.17852783;0.00010795
0.1789093;0.00004051
0.17929077;0.00001436
0.17967224;0.00004022
0.18005371;0.00007916
0.18043518;0.00009589
0.18081665;0.00009714
0.18119812;0.00009544
0.18157959;0.00008085
0.18196106;0.00005712
0.18234253;0.00004092
0.182724;0.000044
0.18310547;0.0000443
0.18348694;0.00003067
0.18386841;0.00000918
0.18424988;0.00002886
0.18463135;0.00007447
0.18501282;0.00009955
0.18539429;0.00009165
0.18577576;0.00006418
0.18615723;0.000082
0.1865387;0.00012733
0.18692017;0.00014426
0.18730164;0.00013727
0.18768311;0.00010621
0.18806458;0.00010998
0.18844604;0.00014721
0.18882751;0.00016469
0.18920898;0.00017169
0.18959045;0.00013955
0.18997192;0.00008256
0.19035339;0.00006076
0.19073486;0.00005883
0.19111633;0.00006434
0.1914978;0.00007591
0.19187927;0.00008273
0.19226074;0.00007497
0.19264221;0.00005864
0.19302368;0.00003868
0.19340515;0.00006995
0.19378662;0.00011421
0.19416809;0.00012765
0.19454956;0.00013563
0.19493103;0.00012163
0.1953125;0.00006234
0.19569397;0.00003622
0.19607544;0.00004521
0.19645691;0.00001906
0.19683838;0.00000401
0.19721985;0.0000142
0.19760132;0.0000077
0.19798279;0.0000346
0.19836426;0.00003341
0.19874573;0.0000873
0.1991272;0.00015759
0.19950867;0.00022152
0.19989014;0.0002554
0.20027161;0.00024399
0.20065308;0.00018719
0.20103455;0.00013399
0.20141602;0.00007849
0.20179749;0.00004237
0.20217896;0.00004357
0.20256042;0.00004892
0.20294189;0.00004718
0.20332336;0.00007654
0.20370483;0.00009
0.2040863;0.00008741
0.20446777;0.00006775
0.20484924;0.00002979
0.20523071;0.00001196
0.20561218;0.00003709
0.20599365;0.00005068
0.20637512;0.00004235
0.20675659;0.00003367
0.20713806;0.00004296
0.20751953;0.00006948
0.207901;0.00010578
0.20828247;0.00012442
0.20866394;0.00011176
0.20904541;0.00008636
0.20942688;0.00005268
0.20980835;0.00001671
0.21018982;0.00002162
0.21057129;0.00004009
0.21095276;0.00002744
0.21133423;0.00005349
