MHz;V
0.10185242;0.00006951
0.10223389;0.0000777
0.10261536;0.00009568
0.10299683;0.00012824
0.1033783;0.00012644
0.10375977;0.00010278
0.10414124;0.00008909
0.10452271;0.00009165
0.10490417;0.00009248
0.10528564;0.00009018
0.10566711;0.00007694
0.10604858;0.00004548
0.10643005;0.00003529
0.10681152;0.00001917
0.10719299;0.00001306
0.10757446;0.00004132
0.10795593;0.00003935
0.1083374;0.00007128
0.10871887;0.0000891
0.10910034;0.00007583
0.10948181;0.00007672
0.10986328;0.0000648
0.11024475;0.00005766
0.11062622;0.00005868
0.11100769;0.00005477
0.11138916;0.00004591
0.11177063;0.00006524
0.1121521;0.00006964
0.11253357;0.00007188
0.11291504;0.0000632
0.11329651;0.00003781
0.11367798;0.00005943
0.11405945;0.00010113
0.11444092;0.00011615
0.11482239;0.00012736
0.11520386;0.00013517
0.11558533;0.00012229
0.1159668;0.00011962
0.11634827;0.0001165
0.11672974;0.00010495
0.11711121;0.00008486
0.11749268;0.00009808
0.11787415;0.00012043
0.11825562;0.00008551
0.11863708;0.00002804
0.11901855;0.00008544
0.11940002;0.00013612
0.11978149;0.0001388
0.12016296;0.00010031
0.12054443;0.00006316
0.1209259;0.00003614
0.12130737;0.00000626
0.12168884;0.0000502
0.12207031;0.00008165
0.12245178;0.00010038
0.12283325;0.0001336
0.12321472;0.0001577
0.12359619;0.00018803
0.12397766;0.00019469
0.12435913;0.00014867
0.1247406;0.00009198
0.12512207;0.00006798
0.12550354;0.00007024
0.12588501;0.00004813
0.12626648;0.00004598
0.12664795;0.00002418
0.12702942;0.00004531
0.12741089;0.00008988
0.12779236;0.00010256
0.12817383;0.00009663
0.1285553;0.00006917
0.12893677;0.00002146
0.12931824;0.00005093
0.12969971;0.00008561
0.13008118;0.00007377
0.13046265;0.00005286
0.13084412;0.00007546
0.13122559;0.00009799
0.13160706;0.00008953
0.13198853;0.00005678
0.13237;0.00000326
0.13275146;0.00005008
0.13313293;0.00004552
0.1335144;0.00001309
0.13389587;0.00005408
0.13427734;0.00008029
0.13465881;0.0000647
0.13504028;0.00004863
0.13542175;0.00004354
0.13580322;0.00006622
0.13618469;0.00008137
0.13656616;0.00004568
0.13694763;0.00000561
0.1373291;0.00002717
0.13771057;0.00004216
0.13809204;0.00004107
0.13847351;0.00004451
0.13885498;0.00007238
0.13923645;0.0000754
0.13961792;0.00007016
0.13999939;0.00007793
0.14038086;0.00008968
0.14076233;0.00008571
0.1411438;0.00009589
0.14152527;0.00009123
0.14190674;0.0001033
0.14228821;0.00012343
0.14266968;0.00009745
0.14305115;0.00006168
0.14343262;0.00006594
0.14381409;0.0001074
0.14419556;0.00013619
0.14457703;0.00013622
0.1449585;0.00009045
0.14533997;0.00002628
0.14572144;0.00005311
0.14610291;0.00012885
0.14648438;0.00014239
0.14686584;0.00011713
0.14724731;0.00009284
0.14762878;0.00008978
0.14801025;0.00009385
0.14839172;0.00009442
0.14877319;0.00008007
0.14915466;0.00009322
0.14953613;0.00008064
0.1499176;0.00007263
0.15029907;0.00005206
0.15068054;0.00001157
0.15106201;0.00006199
0.15144348;0.00011824
0.15182495;0.00017049
0.15220642;0.00018556
0.15258789;0.00016346
0.15296936;0.00013136
0.15335083;0.00009694
0.1537323;0.00009863
0.15411377;0.00011621
0.15449524;0.0001102
0.15487671;0.00010658
0.15525818;0.00008634
0.15563965;0.00006782
0.15602112;0.0000806
0.15640259;0.00009859
