us;mV
-6.93782162;5.246131
-6.93282162;5.27665
-6.92782162;4.33668
-6.92282162;5.27665
-6.91782162;5.246131
-6.91282162;4.364147
-6.90782162;4.33668
-6.90282162;4.364147
-6.89782162;4.33668
-6.89282162;4.364147
-6.88782162;4.33668
-6.88282162;4.364147
-6.87782162;4.33668
-6.87282162;4.364147
-6.86782162;4.33668
-6.86282162;4.364147
-6.85782162;4.33668
-6.85282162;3.451643
-6.84782162;4.33668
-6.84282162;4.364147
-6.83782162;3.427228
-6.83282162;3.451643
-6.82782162;3.427228
-6.82282162;4.364147
-6.81782162;3.427228
-6.81282162;3.451643
-6.80782162;3.427228
-6.80282162;3.451643
-6.79782162;3.427228
-6.79282162;3.451643
-6.78782162;3.427228
-6.78282162;3.451643
-6.77782162;3.427228
-6.77282162;3.451643
-6.76782162;3.427228
-6.76282162;3.451643
-6.75782162;3.427228
-6.75282162;3.451643
-6.74782162;3.427228
-6.74282162;3.451643
-6.73782162;3.427228
-6.73282162;3.451643
-6.72782162;3.427228
-6.72282162;3.451643
-6.71782162;3.427228
-6.71282162;3.451643
-6.70782162;3.427228
-6.70282162;3.451643
-6.69782162;3.427228
-6.69282162;3.451643
-6.68782162;3.427228
-6.68282162;3.451643
-6.67782162;3.427228
-6.67282162;3.451643
-6.66782162;3.427228
-6.66282162;3.451643
-6.65782162;3.427228
-6.65282162;2.53914
-6.64782162;2.517777
-6.64282162;3.451643
-6.63782162;2.517777
-6.63282162;2.53914
-6.62782162;3.427228
-6.62282162;2.53914
-6.61782162;2.517777
-6.61282162;2.53914
-6.60782162;2.517777
-6.60282162;2.53914
-6.59782162;3.427228
-6.59282162;2.53914
-6.58782162;2.517777
-6.58282162;2.53914
-6.57782162;2.517777
-6.57282162;2.53914
-6.56782162;3.427228
-6.56282162;2.53914
-6.55782162;2.517777
-6.55282162;1.626637
-6.54782162;3.427228
-6.54282162;2.53914
-6.53782162;2.517777
-6.53282162;1.626637
-6.52782162;2.517777
-6.52282162;1.626637
-6.51782162;2.517777
-6.51282162;1.626637
-6.50782162;2.517777
-6.50282162;1.626637
-6.49782162;1.608325
-6.49282162;1.626637
-6.48782162;2.517777
-6.48282162;1.626637
-6.47782162;2.517777
-6.47282162;1.626637
-6.46782162;2.517777
-6.46282162;1.626637
-6.45782162;1.608325
-6.45282162;1.626637
-6.44782162;2.517777
-6.44282162;1.626637
-6.43782162;1.608325
-6.43282162;1.626637
-6.42782162;1.608325
-6.42282162;1.626637
-6.41782162;1.608325
-6.41282162;1.626637
-6.40782162;1.608325
-6.40282162;1.626637
-6.39782162;1.608325
-6.39282162;1.626637
-6.38782162;1.608325
-6.38282162;1.626637
-6.37782162;1.608325
-6.37282162;1.626637
-6.36782162;1.608325
-6.36282162;0.7141331
-6.35782162;1.608325
-6.35282162;1.626637
-6.34782162;1.608325
-6.34282162;0.7141331
-6.33782162;0.6988738
-6.33282162;1.626637
-6.32782162;0.6988738
-6.32282162;1.626637
-6.31782162;0.6988738
-6.31282162;0.7141331
-6.30782163;0.6988738
-6.30282163;1.626637
-6.29782163;0.6988738
-6.29282163;0.7141331
-6.28782163;0.6988738
-6.28282163;0.7141331
-6.27782163;0.6988738
-6.27282163;0.7141331
-6.26782163;0.6988738
-6.26282163;0.7141331
-6.25782163;0.6988738
-6.25282163;0.7141331
-6.24782163;0.6988738
-6.24282163;0.7141331
-6.23782163;-0.2105777
-6.23282163;-0.1983703
-6.22782163;0.6988738
-6.22282163;-0.1983703
-6.21782163;-0.2105777
-6.21282163;0.7141331
-6.20782163;-0.2105777
-6.20282163;0.7141331
-6.19782163;-0.2105777
-6.19282163;-0.1983703
-6.18782163;-0.2105777
-6.18282163;-0.1983703
-6.17782163;-0.2105777
-6.17282163;-0.1983703
-6.16782163;-0.2105777
-6.16282163;-0.1983703
-6.15782163;0.6988738
-6.15282163;-0.1983703
-6.14782163;-0.2105777
-6.14282163;-0.1983703
-6.13782163;-0.2105777
-6.13282163;-0.1983703
-6.12782163;-0.2105777
-6.12282163;-0.1983703
-6.11782163;-0.2105777
-6.11282163;-0.1983703
-6.10782163;-0.2105777
-6.10282163;-0.1983703
-6.09782163;-0.2105777
-6.09282163;0.7141331
-6.08782163;2.517777
-6.08282163;5.27665
-6.07782163;7.974486
-6.07282163;10.75472
-6.06782163;14.3437
-6.06282163;18.0578
-6.05782163;20.70986
-6.05282163;23.53282
-6.04782163;25.26017
-6.04282163;29.01089
-6.03782163;32.53883
-6.03282163;36.31092
-6.02782163;38.90499
-6.02282163;40.87649
-6.01782163;43.4553
-6.01282163;47.26707
-6.00782163;49.82146
-6.00282163;52.74209
-5.99782163;55.28123
-5.99282163;58.22016
-5.98782163;61.65044
-5.98282163;65.52019
-5.97782163;67.10715
-5.97282163;70.08575
-5.96782163;72.56691
-5.96282163;75.56078
-5.95782163;78.93307
-5.95282163;81.95135
-5.94782163;83.48338
-5.94282163;83.77636
-5.93782163;83.48338
-5.93282163;83.77636
-5.92782163;83.48338
-5.92282163;82.86385
-5.91782163;81.66447
-5.91282163;81.95135
-5.90782163;82.57393
-5.90282163;83.77636
-5.89782163;82.57393
-5.89282163;81.95135
-5.88782163;81.66447
-5.88282163;81.95135
-5.87782163;81.66447
-5.87282163;81.95135
-5.86782163;80.75198
-5.86282163;81.03884
-5.85782163;80.75198
-5.85282163;81.95135
-5.84782163;80.75198
-5.84282163;81.03884
-5.83782163;79.84252
-5.83282163;80.12634
-5.82782163;79.84252
-5.82282163;80.12634
-5.81782163;79.84252
-5.81282163;80.12634
-5.80782163;79.84252
-5.80282163;80.12634
-5.79782163;78.93307
-5.79282163;80.12634
-5.78782163;78.93307
-5.78282163;78.30134
-5.77782163;78.93307
-5.77282163;78.30134
-5.76782163;78.93307
-5.76282163;78.30134
-5.75782163;78.02361
-5.75282163;78.30134
-5.74782163;78.02361
-5.74282163;78.30134
-5.73782163;77.11417
-5.73282163;78.30134
-5.72782163;77.11417
-5.72282163;76.47633
-5.71782163;76.20471
-5.71282163;77.38883
-5.70782163;77.11417
-5.70282163;76.47633
-5.69782163;76.20471
-5.69282163;76.47633
-5.68782163;76.20471
-5.68282163;76.47633
-5.67782163;76.20471
-5.67282163;75.56078
-5.66782163;75.29527
-5.66282163;75.56078
-5.65782163;75.29527
-5.65282163;75.56078
-5.64782163;75.29527
-5.64282163;74.64827
-5.63782163;74.38581
-5.63282163;74.64827
-5.62782163;74.38581
-5.62282163;74.64827
-5.61782163;74.38581
-5.61282163;73.73577
-5.60782163;73.47636
-5.60282163;73.73577
-5.59782163;74.38581
-5.59282163;74.64827
-5.58782163;72.56691
-5.58282163;72.82327
-5.57782163;72.56691
-5.57282163;72.82327
-5.56782163;72.56691
-5.56282163;72.82327
-5.55782163;72.56691
-5.55282163;72.82327
-5.54782163;72.56691
-5.54282163;72.82327
-5.53782163;72.56691
-5.53282163;71.91076
-5.52782163;72.56691
-5.52282163;71.91076
-5.51782163;71.65746
-5.51282163;70.99825
-5.50782163;71.65746
-5.50282163;70.99825
-5.49782163;69.8355
-5.49282163;70.99825
-5.48782163;71.65746
-5.48282163;70.99825
-5.47782163;69.8355
-5.47282163;70.08575
-5.46782163;69.8355
-5.46282163;70.08575
-5.45782163;68.92605
-5.45282163;69.17325
-5.44782163;68.92605
-5.44282163;69.17325
-5.43782163;68.92605
-5.43282163;69.17325
-5.42782163;68.92605
-5.42282163;69.17325
-5.41782163;68.92605
-5.41282163;68.26075
-5.40782163;68.92605
-5.40282163;68.26075
-5.39782163;68.0166
-5.39282163;67.34824
-5.38782163;68.0166
-5.38282163;67.34824
-5.37782163;68.0166
-5.37282163;67.34824
-5.36782163;68.0166
-5.36282163;67.34824
-5.35782163;67.10715
-5.35282163;67.34824
-5.34782163;67.10715
-5.34282163;67.34824
-5.33782163;67.10715
-5.33282163;66.43575
-5.32782163;67.10715
-5.32282163;66.43575
-5.31782163;65.28824
-5.31282163;65.52019
-5.30782163;66.1977
-5.30282163;65.52019
-5.29782163;65.28824
-5.29282163;65.52019
-5.28782163;65.28824
-5.28282163;65.52019
-5.27782163;65.28824
-5.27282163;65.52019
-5.26782163;65.28824
-5.26282163;65.52019
-5.25782163;64.37879
-5.25282163;65.52019
-5.24782163;64.37879
-5.24282163;64.60768
-5.23782163;64.37879
-5.23282163;63.69518
-5.22782163;64.37879
-5.22282163;63.69518
-5.21782163;63.46934
-5.21282163;63.69518
-5.20782163;63.46934
-5.20282163;63.69518
-5.19782163;63.46934
-5.19282163;63.69518
-5.18782163;62.55989
-5.18282163;62.78267
-5.17782163;62.55989
-5.17282163;62.78267
-5.16782163;61.65044
-5.16282163;61.87017
-5.15782163;62.55989
-5.15282163;61.87017
-5.14782163;61.65044
-5.14282163;61.87017
-5.13782163;61.65044
-5.13282163;61.87017
-5.12782163;61.65044
-5.12282163;61.87017
-5.11782163;61.65044
-5.11282163;61.87017
-5.10782163;60.73793
-5.10282163;60.95767
-5.09782163;60.73793
-5.09282163;60.95767
-5.08782163;60.73793
-5.08282163;60.04517
-5.07782163;60.73793
-5.07282163;60.04517
-5.06782163;59.82848
-5.06282163;60.04517
-5.05782163;60.73793
-5.05282163;60.04517
-5.04782163;59.82848
-5.04282163;60.04517
-5.03782163;59.82848
-5.03282163;60.04517
-5.02782163;58.91903
-5.02282163;59.13266
-5.01782163;58.91903
-5.01282163;59.13266
-5.00782163;58.00958
-5.00282163;59.13266
-4.99782163;58.00958
-4.99282163;58.22016
-4.98782163;58.00958
-4.98282163;58.22016
-4.97782163;58.00958
-4.97282163;58.22016
-4.96782163;58.00958
-4.96282163;58.22016
-4.95782163;58.00958
-4.95282163;57.30765
-4.94782163;57.10013
-4.94282163;58.22016
-4.93782163;57.10013
-4.93282163;57.30765
-4.92782163;57.10013
-4.92282163;56.39515
-4.91782163;57.10013
-4.91282163;56.39515
