us;mV
-8.2150782;98.43439
-8.2100782;97.76909
-8.2050782;98.43439
-8.2000782;97.76909
-8.1950782;98.43439
-8.1900782;97.76909
-8.1850782;96.6216
-8.1800782;97.76909
-8.1750782;96.6216
-8.1700782;95.9624
-8.1650782;96.6216
-8.1600782;95.9624
-8.1550782;96.6216
-8.1500782;95.9624
-8.1450782;96.6216
-8.1400782;94.1496
-8.1350782;94.8088
-8.1300782;94.1496
-8.1250782;93.00211
-8.1200782;94.1496
-8.1150782;94.8088
-8.1100782;94.1496
-8.1050782;93.00211
-8.1000782;94.1496
-8.0950782;94.8088
-8.0900782;94.1496
-8.0850782;93.00211
-8.0800782;94.1496
-8.0750782;93.00211
-8.0700782;94.1496
-8.0650782;93.00211
-8.0600782;92.3368
-8.0550782;93.00211
-8.0500782;92.3368
-8.0450782;93.00211
-8.0400782;92.3368
-8.0350782;91.18931
-8.0300782;90.5301
-8.0250782;91.18931
-8.0200782;90.5301
-8.0150782;91.18931
-8.0100782;90.5301
-8.0050782;91.18931
-8.0000782;90.5301
-7.9950782;91.18931
-7.9900782;90.5301
-7.9850782;91.18931
-7.9800782;90.5301
-7.9750782;91.18931
-7.9700782;90.5301
-7.9650782;89.3765
-7.9600782;90.5301
-7.9550782;89.3765
-7.9500782;88.71731
-7.9450782;89.3765
-7.9400782;90.5301
-7.9350782;89.3765
-7.9300782;88.71731
-7.9250782;89.3765
-7.9200782;86.91061
-7.9150782;87.56371
-7.9100782;86.91061
-7.9050782;87.56371
-7.9000782;86.91061
-7.8950782;87.56371
-7.8900782;86.91061
-7.8850782;85.7509
-7.8800782;86.91061
-7.8750782;85.7509
-7.8700782;86.91061
-7.8650782;87.56371
-7.8600782;86.91061
-7.8550782;85.7509
-7.8500782;86.91061
-7.8450782;85.7509
-7.8400782;86.91061
-7.8350782;85.7509
-7.8300782;86.91061
-7.8250782;85.7509
-7.8200782;83.285
-7.8150782;85.7509
-7.8100782;83.285
-7.8050782;83.9381
