err	0	0.01	0.01	0.014142135623731
#	1	2	3	4
name	m	x_{min}, \text{мм}	x_{max}, \text{мм}	x, \text{мм}
data	-5	0.26	0.38	0.32
data	-4	0.54	0.64	0.59
data	-3	0.8	0.9	0.85
data	-2	1.08	1.18	1.13
data	-1	1.36	1.42	1.39
data	1	1.94	1.98	1.96
data	2	2.16	2.28	2.22
data	3	2.48	2.52	2.5
data	4	2.72	2.86	2.79
data	5	3	3.1	3.05
