Time,Value,Value_2ND, ,DateTime : ( 24 / 01 / 15 -- 13 : 48 : 29 )
"13 : 48 : 30",18.04559320000000, 
"13 : 48 : 31",18.04567140000000, 
"13 : 48 : 32",18.04587740000000, 
"13 : 48 : 33",18.04501340000000, 
"13 : 48 : 34",18.04551690000000, 
"13 : 48 : 35",18.04520600000000, 
"13 : 48 : 37",18.04542730000000, 
"13 : 48 : 37",18.04502860000000, 
"13 : 48 : 38",18.04483410000000, 
"13 : 48 : 39",18.04508970000000, 
"13 : 48 : 40",18.04489320000000, 
"13 : 48 : 41",18.04464140000000, 
"13 : 48 : 42",18.04535290000000, 
"13 : 48 : 43",18.04528990000000, 
"13 : 48 : 44",18.04496000000000, 
"13 : 48 : 45",18.04506300000000, 
"13 : 48 : 46",18.04486080000000, 
"13 : 48 : 47",18.04516220000000, 
"13 : 48 : 48",18.04516790000000, 
"13 : 48 : 49",18.04579350000000, 
"13 : 48 : 50",18.04537200000000, 
"13 : 48 : 52",18.04569620000000, 
"13 : 48 : 53",18.04474250000000, 
"13 : 48 : 54",18.04447360000000, 
"13 : 48 : 55",18.04477690000000, 
"13 : 48 : 56",18.04511450000000, 
"13 : 48 : 57",18.04468150000000, 
"13 : 48 : 58",18.04516220000000, 
"13 : 48 : 59",18.04507630000000, 
"13 : 49 : 00",18.04448890000000, 
"13 : 49 : 01",18.04476920000000, 
"13 : 49 : 02",18.04493710000000, 
"13 : 49 : 03",18.04502480000000, 
"13 : 49 : 04",18.04446410000000, 
"13 : 49 : 05",18.04512590000000, 
"13 : 49 : 06",18.04441830000000, 
"13 : 49 : 07",18.04620550000000, 
"13 : 49 : 08",18.04468910000000, 
"13 : 49 : 09",18.04494850000000, 
"13 : 49 : 10",18.04489510000000, 
"13 : 49 : 11",18.04458800000000, 
"13 : 49 : 12",18.04522130000000, 
"13 : 49 : 13",18.04493710000000, 
"13 : 49 : 14",18.04437630000000, 
"13 : 49 : 15",18.04474060000000, 
"13 : 49 : 16",18.04427900000000, 
"13 : 49 : 17",18.04456710000000, 
"13 : 49 : 18",18.04532620000000, 
"13 : 49 : 19",18.04491800000000, 
"13 : 49 : 20",18.04496380000000, 
"13 : 49 : 21",18.04423330000000, 
"13 : 49 : 22",18.04442590000000, 
"13 : 49 : 23",18.04413980000000, 
"13 : 49 : 24",18.04450030000000, 
"13 : 49 : 25",18.04421800000000, 
"13 : 49 : 26",18.04439540000000, 
"13 : 49 : 27",18.04423520000000, 
"13 : 49 : 28",18.04474060000000, 
"13 : 49 : 29",18.04411120000000, 
"13 : 49 : 30",18.04387280000000, 
"13 : 49 : 31",18.04438780000000, 
"13 : 49 : 32",18.04445830000000, 
"13 : 49 : 33",18.04461660000000, 
"13 : 49 : 34",18.04421420000000, 
"13 : 49 : 35",18.04483220000000, 
"13 : 49 : 36",18.04433050000000, 
"13 : 49 : 37",18.04471770000000, 
"13 : 49 : 38",18.04441070000000, 
"13 : 49 : 39",18.04450030000000, 
"13 : 49 : 40",18.04460900000000, 
"13 : 49 : 41",18.04392620000000, 
"13 : 49 : 42",18.04401010000000, 
"13 : 49 : 43",18.04442210000000, 
"13 : 49 : 44",18.04344550000000, 
"13 : 49 : 45",18.04391470000000, 
"13 : 49 : 46",18.04424660000000, 
"13 : 49 : 47",18.04379840000000, 
"13 : 49 : 48",18.04404440000000, 
"13 : 49 : 49",18.04445070000000, 
"13 : 49 : 50",18.04408830000000, 
"13 : 49 : 51",18.04339790000000, 
"13 : 49 : 52",18.04385180000000, 
"13 : 49 : 53",18.04416840000000, 
"13 : 49 : 54",18.04398910000000, 
"13 : 49 : 55",18.04472350000000, 
"13 : 49 : 56",18.04399680000000, 
"13 : 49 : 57",18.04454800000000, 
"13 : 49 : 58",18.04447550000000, 
"13 : 49 : 59",18.04390520000000, 
"13 : 50 : 00",18.04475210000000, 
"13 : 50 : 01",18.04456320000000, 
"13 : 50 : 02",18.04339210000000, 
"13 : 50 : 03",18.04471960000000, 
"13 : 50 : 04",18.04388230000000, 
"13 : 50 : 05",18.04421040000000, 
"13 : 50 : 06",18.04417610000000, 
"13 : 50 : 07",18.04430960000000, 
"13 : 50 : 08",18.04360770000000, 
"13 : 50 : 09",18.04403110000000, 
"13 : 50 : 10",18.04400440000000, 
"13 : 50 : 11",18.04372210000000, 
"13 : 50 : 12",18.04439350000000, 
"13 : 50 : 13",18.04448890000000, 
"13 : 50 : 14",18.04413980000000, 
"13 : 50 : 15",18.04432100000000, 
"13 : 50 : 16",18.04432100000000, 
"13 : 50 : 17",18.04431910000000, 
"13 : 50 : 18",18.04384800000000, 
"13 : 50 : 19",18.03779020000000, 
"13 : 50 : 20",18.03109550000000, 
"13 : 50 : 21",18.02121540000000, 
"13 : 50 : 22",18.01126480000000, 
"13 : 50 : 23",18.00233650000000, 
"13 : 50 : 24",17.99270240000000, 
"13 : 50 : 25",17.98360630000000, 
"13 : 50 : 26",17.97457500000000, 
"13 : 50 : 27",17.96470640000000, 
"13 : 50 : 28",17.95745270000000, 
"13 : 50 : 29",17.94897460000000, 
"13 : 50 : 30",17.94097320000000, 
"13 : 50 : 31",17.93313590000000, 
"13 : 50 : 32",17.92331310000000, 
"13 : 50 : 33",17.91749190000000, 
"13 : 50 : 34",17.90885160000000, 
"13 : 50 : 35",17.90098190000000, 
"13 : 50 : 36",17.89523120000000, 
"13 : 50 : 37",17.88860700000000, 
"13 : 50 : 38",17.88066290000000, 
"13 : 50 : 39",17.87388420000000, 
"13 : 50 : 40",17.86786460000000, 
"13 : 50 : 41",17.86115830000000, 
