t (s),V (mV)
0,11.1856
0.969,11.1304
1.901,11.0832
2.863,11.0283
3.826,10.9689
4.815,10.9137
5.816,10.8526
6.816,10.7978
7.816,10.7352
8.815,10.6742
9.815,10.6191
10.814,10.5606
11.815,10.5025
12.814,10.4441
13.814,10.3927
14.815,10.3382
15.814,10.2802
16.814,10.2226
17.815,10.1609
18.814,10.1069
19.814,10.0542
20.815,10.0012
21.815,9.9505
22.816,9.8971
23.815,9.8401
24.815,9.7865
25.816,9.733
26.815,9.6799
27.816,9.6296
28.815,9.5778
29.816,9.5275
30.815,9.4721
31.815,9.4171
32.816,9.3692
33.815,9.3201
34.816,9.2717
35.815,9.2211
36.815,9.1744
37.816,9.1143
38.816,9.067
39.815,9.0247
40.815,8.9713
41.815,8.9259
42.816,8.881
43.815,8.833
44.815,8.7782
45.816,8.7217
46.815,8.6747
47.816,8.6293
48.816,8.5858
49.816,8.5369
50.815,8.4961
51.815,8.4518
52.815,8.4011
53.816,8.3563
54.816,8.3098
55.815,8.264
56.816,8.2143
57.815,8.1708
58.816,8.1304
59.815,8.0816
60.816,8.0344
61.816,7.9974
62.816,7.9569
63.815,7.91
64.815,7.8709
65.816,7.8261
66.815,7.7849
67.815,7.743
68.815,7.6968
69.816,7.6541
70.816,7.6161
71.815,7.5679
72.816,7.5309
73.816,7.4885
74.816,7.4461
75.816,7.4081
76.816,7.3652
77.815,7.3291
78.816,7.2839
79.816,7.2451
80.816,7.2053
81.816,7.1657
82.816,7.1258
83.815,7.0888
84.815,7.048
85.816,7.01
86.815,6.9748
87.816,6.9321
88.816,6.8958
89.815,6.8564
90.816,6.8252
91.816,6.7841
92.815,6.7489
93.816,6.7122
94.815,6.6798
95.816,6.6394
96.815,6.6119
97.816,6.5708
98.815,6.5276
99.815,6.4939
100.816,6.4624
101.815,6.4305
102.816,6.3905
103.815,6.3543
104.816,6.3193
105.815,6.2869
106.815,6.2481
107.815,6.2174
108.815,6.184
109.816,6.1627
110.815,6.1295
111.815,6.0998
112.816,6.0672
113.815,6.0418
114.815,6.0065
115.816,5.9654
116.816,5.9457
117.815,5.9109
118.815,5.878
119.815,5.8373
120.815,5.8088
121.815,5.7684
122.815,5.7397
123.816,5.7012
124.816,5.6735
125.815,5.6457
126.815,5.612
127.815,5.5849
128.816,5.5533
129.816,5.5217
130.815,5.49
131.815,5.4649
132.816,5.4328
133.815,5.4041
134.815,5.371
135.815,5.3397
136.816,5.3166
137.815,5.2814
138.815,5.2555
139.815,5.224
140.816,5.1999
141.816,5.1651
142.815,5.1348
143.815,5.0996
144.816,5.0798
145.815,5.0444
146.815,5.021
147.816,4.9994
148.816,4.97
149.815,4.9509
150.815,4.9192
151.815,4.8883
152.816,4.8611
