"P, торр","dP, торр",D,dD
40,3,11.201336833967655,0.2790927530658645
82,3,5.538113698395732,0.1413088184244548
119,3,3.72389047915451,0.0993591362886809
160,3,2.8308498051841866,0.0778053741433951
201,3,2.2039244993669005,0.0516933676264941
