t (s),V (mV),Corr
0,13.6484,13.6484
0.965,13.6515,13.6515
1.961,13.6415,13.6415
2.962,13.6252,13.6252
3.961,13.6118,13.6118
4.962,13.5972,13.5972
5.962,13.5756,13.5756
6.962,13.562,13.562
7.961,13.5471,13.5471
8.962,13.5233,13.5233
9.962,13.5033,13.5033
10.961,13.4864,13.4864
11.962,13.4793,13.4793
12.961,13.4577,13.4577
13.962,13.4438,13.4438
14.962,13.4393,13.4393
15.961,13.4189,13.4189
16.962,13.3983,13.3983
17.962,13.3888,13.3888
18.961,13.3679,13.3679
19.962,13.3509,13.3509
20.962,13.3291,13.3291
21.962,13.3029,13.3029
22.961,13.2886,13.2886
23.961,13.2681,13.2681
24.962,13.2551,13.2551
25.962,13.2293,13.2293
26.961,13.2174,13.2174
27.961,13.2025,13.2025
28.961,13.1853,13.1853
29.962,13.1645,13.1645
30.962,13.1481,13.1481
31.962,13.129,13.129
32.962,13.1114,13.1114
33.961,13.0946,13.0946
34.962,13.0802,13.0802
35.961,13.0607,13.0607
36.962,13.0452,13.0452
37.962,13.0311,13.0311
38.962,13.0082,13.0082
39.962,12.9906,12.9906
40.962,12.9739,12.9739
41.961,12.9631,12.9631
42.962,12.9473,12.9473
43.962,12.9228,12.9228
44.961,12.9081,12.9081
45.962,12.8941,12.8941
46.962,12.875,12.875
47.962,12.8526,12.8526
48.962,12.8383,12.8383
49.962,12.8248,12.8248
50.961,12.8097,12.8097
51.962,12.7955,12.7955
52.962,12.7789,12.7789
53.961,12.7577,12.7577
54.962,12.7437,12.7437
55.961,12.721,12.721
56.961,12.7133,12.7133
57.962,12.6932,12.6932
58.961,12.6815,12.6815
59.966,12.6584,12.6584
60.962,12.6439,12.6439
61.962,12.6292,12.6292
62.961,12.6135,12.6135
63.962,12.5973,12.5973
64.962,12.5862,12.5862
65.962,12.5616,12.5616
66.962,12.5455,12.5455
67.961,12.5318,12.5318
68.962,12.5109,12.5109
69.962,12.4945,12.4945
70.962,12.4815,12.4815
71.961,12.4653,12.4653
72.962,12.4503,12.4503
73.962,12.4409,12.4409
74.961,12.4241,12.4241
75.961,12.4021,12.4021
76.962,12.3924,12.3924
77.967,12.3744,12.3744
78.962,12.3574,12.3574
79.962,12.346,12.346
