,"$T$, K","$1/T$, $10^3$ K$^{-1}$",$\mu$,$\Delta\mu$
0,17,3.4482758620689653,1.061142857142857,0.049415290774103844
1,30,3.3003300330033003,0.8697142857142858,0.04065194250395455
2,40,3.194888178913738,0.8217142857142858,0.0395502734812972
3,50,3.0959752321981426,0.7439999999999997,0.034948474148716296
