U_e;U_p;R_m
38.998;69.951;1000
48.415;86.823;800
55.063;98.752;700
75.915;136.11;500
122.16;218.98;300
312.91;559.84;100
408.64;731.16;70
454.89;813.74;60
588.65;1051.2;40
689.69;1232.7;30
833.58;1488.1;20
