U_e;U_p;R_m
48.458;83.609;800
55.121;95.082;700
63.905;110.31;600
122.43;211.48;300
314.49;543.87;100
409.95;712.14;70
514.64;898.87;50
551.61;962.84;45
695.26;1225.8;30
834.71;1484.3;20
