Время,A * B
(mс),(?)

-1.00024824,-0.21230560
-0.99992824,-0.20819780
-0.99960824,-0.20409000
-0.99928824,-0.19998220
-0.99896824,-0.19587440
-0.99864824,-0.18765880
-0.99832824,-0.18355100
-0.99800824,-0.19286890
-0.99768824,-0.16711980
-0.99736824,-0.17931320
-0.99704824,-0.15068860
-0.99672824,-0.16123880
-0.99640824,-0.14768310
-0.99608824,-0.13864590
-0.99576824,-0.12959360
-0.99544824,-0.12055640
-0.99512824,-0.09727331
-0.99480824,-0.09344489
-0.99448824,-0.08440773
-0.99416825,-0.06441090
-0.99384825,-0.06181482
-0.99352825,-0.04825907
-0.99320825,-0.03922191
-0.99288825,-0.02114758
-0.99256825,-0.01211041
-0.99224825,0.00144534
-0.99192825,0.01500109
-0.99160825,0.02403825
-0.99128825,0.03759400
-0.99096825,0.05114974
-0.99064825,0.06470549
-0.99032825,0.07374266
-0.99000825,0.08729841
-0.98968825,0.09633557
-0.98936825,0.10989130
-0.98904825,0.11892850
-0.98872825,0.13248420
-0.98840825,0.14152140
-0.98808825,0.16426230
-0.98776825,0.17412100
-0.98744825,0.18397970
-0.98712825,0.19383850
-0.98680825,0.20369720
-0.98648825,0.21355590
-0.98616825,0.22341460
-0.98584825,0.20931530
-0.98552825,0.23820270
-0.98520825,0.24313210
-0.98488825,0.24806150
-0.98456825,0.25299080
-0.98424825,0.23190820
-0.98392825,0.26284950
-0.98360825,0.26284950
-0.98328825,0.26777890
-0.98296825,0.26777890
-0.98264825,0.26777890
-0.98232825,0.26777890
-0.98200825,0.27270830
-0.98168825,0.27270830
-0.98136825,0.26284950
-0.98104825,0.26284950
-0.98072825,0.28475370
-0.98040825,0.27941360
-0.98008825,0.25299080
-0.97976825,0.27407340
-0.97944825,0.24313210
-0.97912825,0.25805300
-0.97880825,0.25271280
-0.97848825,0.24203260
-0.97816825,0.23135230
-0.97784825,0.20862660
-0.97752825,0.21533180
-0.97720825,0.20465150
-0.97688825,0.19397130
-0.97656825,0.16919170
-0.97624825,0.17259270
-0.97592825,0.16191240
-0.97560825,0.14589200
-0.97528825,0.12987160
-0.97496825,0.11919130
-0.97464825,0.10851100
-0.97432825,0.09960523
-0.97400825,0.08181027
-0.97368825,0.06578984
-0.97336825,0.05359783
-0.97304825,0.04209599
-0.97272825,0.02306870
-0.97240825,0.00759044
-0.97208825,-0.00391140
-0.97176825,-0.01965245
-0.97144825,-0.04416787
-0.97112825,-0.05566971
-0.97080825,-0.07292248
-0.97048825,-0.08442433
-0.97016825,-0.10167710
-0.96984825,-0.11892990
-0.96952825,-0.13043170
-0.96920825,-0.14768450
-0.96888825,-0.15918630
-0.96856825,-0.17068820
-0.96824825,-0.18796030
-0.96792825,-0.19946220
-0.96760825,-0.21096400
-0.96728825,-0.22246590
-0.96696825,-0.23396770
-0.96664825,-0.26300310
-0.96632825,-0.25122050
-0.96600825,-0.26272230
-0.96568825,-0.26847320
-0.96536825,-0.29997330
-0.96504825,-0.27997510
-0.96472825,-0.31229670
-0.96440825,-0.31845840
-0.96408825,-0.31845840
-0.96376825,-0.32462010
-0.96344825,-0.32462010
-0.96312825,-0.33078180
-0.96280825,-0.33078180
-0.96248825,-0.33694350
-0.96216825,-0.33694350
-0.96184825,-0.33694350
-0.96152825,-0.33078180
-0.96120825,-0.33078180
-0.96088825,-0.33078180
-0.96056825,-0.32462010
-0.96024825,-0.31845840
-0.95992825,-0.31229670
-0.95960825,-0.30613500
-0.95928825,-0.29997330
-0.95896825,-0.29381160
-0.95864825,-0.28148820
-0.95832825,-0.27532650
-0.95800825,-0.26300310
-0.95768825,-0.25067970
-0.95736825,-0.24451800
-0.95704825,-0.23219460
-0.95672825,-0.21987110
-0.95640825,-0.20138600
-0.95608825,-0.18906260
-0.95576825,-0.17671850
-0.95544825,-0.16878230
-0.95512825,-0.15563730
-0.95480825,-0.13591990
-0.95448825,-0.12277490
-0.95416825,-0.10305740
-0.95384825,-0.08991246
-0.95352825,-0.07019501
-0.95320825,-0.05047756
