Время,A * B
(mс),(?)

-0.92449844,-0.44104240
-0.92417844,-0.44104240
-0.92385844,-0.44925810
-0.92353844,-0.44925810
-0.92321844,-0.44104240
-0.92289844,-0.44104240
-0.92257844,-0.44104240
-0.92225844,-0.45446820
-0.92193844,-0.43282680
-0.92161844,-0.42461120
-0.92129844,-0.41639560
-0.92097844,-0.40818000
-0.92065844,-0.41996260
-0.92033844,-0.38353320
-0.92001844,-0.39408350
-0.91969844,-0.38545710
-0.91937844,-0.36820430
-0.91905844,-0.35095160
-0.91873844,-0.32602400
-0.91841844,-0.32507240
-0.91809844,-0.29919320
-0.91777844,-0.28194050
-0.91745844,-0.26468770
-0.91713844,-0.24740590
-0.91681844,-0.22152670
-0.91649844,-0.20427400
-0.91617844,-0.18688980
-0.91585844,-0.16881550
-0.91553844,-0.14170400
-0.91521844,-0.11459250
-0.91489844,-0.09651814
-0.91457844,-0.06940664
-0.91425844,-0.04229515
-0.91393844,-0.01518365
-0.91361844,0.00289068
-0.91329844,0.03000217
-0.91297844,0.04807650
-0.91265844,0.08422516
-0.91233844,0.10229950
-0.91201844,0.12941100
-0.91169844,0.14748530
-0.91137844,0.17459680
-0.91105844,0.19267110
-0.91073844,0.21978260
-0.91041844,0.23785700
-0.91009844,0.26496850
-0.90977844,0.28304280
-0.90945844,0.30114760
-0.90913844,0.31922190
-0.90881844,0.33729620
-0.90849844,0.35537060
-0.90817844,0.39986760
-0.90785844,0.39151920
-0.90753844,0.41876350
-0.90721844,0.41863070
-0.90689844,0.44710730
-0.90657844,0.46600320
-0.90625844,0.47545120
-0.90593844,0.48489910
-0.90561844,0.49434710
-0.90529844,0.47285370
-0.90497844,0.50379500
-0.90465844,0.51324300
-0.90433844,0.51324300
-0.90401844,0.51324300
-0.90369844,0.51324300
-0.90337844,0.51324300
-0.90305844,0.51324300
-0.90273844,0.51324300
-0.90241844,0.51324300
-0.90209844,0.50379500
-0.90177844,0.49434710
-0.90145844,0.48489910
-0.90113844,0.47545120
-0.90081844,0.48626420
-0.90049844,0.44710730
-0.90017844,0.44710730
-0.89985844,0.42821150
-0.89953844,0.43697060
-0.89921844,0.41725310
-0.89889844,0.38097170
-0.89857844,0.37781820
-0.89825844,0.35810080
-0.89793844,0.33838330
-0.89761844,0.31863270
-0.89729844,0.29891520
-0.89697844,0.26933910
-0.89665844,0.24962160
-0.89633844,0.22004540
-0.89601844,0.20032800
-0.89569844,0.17075180
-0.89537844,0.15103430
-0.89505844,0.12145820
-0.89473844,0.10174070
-0.89441844,0.06230582
