Время,A * B
(mс),(?)

-1.00026047,-0.20819780
-0.99994047,-0.20409000
-0.99962047,-0.19998220
-0.99930047,-0.19176660
-0.99898047,-0.18355100
-0.99866047,-0.17944320
-0.99834047,-0.17122760
-0.99802047,-0.17931320
-0.99770047,-0.17479460
-0.99738047,-0.16123880
-0.99706047,-0.15672030
-0.99674047,-0.14768310
-0.99642047,-0.13411210
-0.99610047,-0.12507500
-0.99578047,-0.11151920
-0.99546047,-0.10248210
-0.99514047,-0.09344489
-0.99482047,-0.07988915
-0.99450047,-0.07085198
-0.99418047,-0.05277765
-0.99386047,-0.04374048
-0.99354047,-0.03470332
-0.99322047,-0.02114758
-0.99290047,-0.00759183
-0.99258047,0.00596392
-0.99226047,0.01951967
-0.99194047,0.02855683
-0.99162047,0.04663116
-0.99130047,0.05566832
-0.99098047,0.06922407
-0.99066047,0.07826124
-0.99034047,0.09181698
-0.99002047,0.10085420
-0.98970047,0.11440990
-0.98938047,0.12344710
-0.98906047,0.13248420
-0.98874047,0.14604000
-0.98842047,0.15509240
-0.98810047,0.17905040
-0.98778047,0.18890910
-0.98746047,0.19876780
-0.98714047,0.20862660
-0.98682047,0.21355590
-0.98650047,0.22341460
-0.98618047,0.22834400
-0.98586047,0.21835250
-0.98554047,0.24313210
-0.98522047,0.25299080
-0.98490047,0.25299080
-0.98458047,0.25792020
-0.98426047,0.26284950
-0.98394047,0.26284950
-0.98362047,0.26284950
-0.98330047,0.26777890
-0.98298047,0.27270830
-0.98266047,0.26777890
-0.98234047,0.26777890
-0.98202047,0.26777890
-0.98170047,0.26284950
-0.98138047,0.26284950
-0.98106047,0.26284950
-0.98074047,0.25792020
-0.98042047,0.25299080
-0.98010047,0.24806150
-0.97978047,0.26339310
-0.97946047,0.25271280
-0.97914047,0.24737270
-0.97882047,0.23669240
-0.97850047,0.21355590
-0.97818047,0.22067200
-0.97786047,0.20999170
-0.97754047,0.20465150
-0.97722047,0.18863110
-0.97690047,0.17795080
-0.97658047,0.16725260
-0.97626047,0.15123210
-0.97594047,0.14055190
-0.97562047,0.12987160
-0.97530047,0.11385110
-0.97498047,0.10317080
-0.97466047,0.08715042
-0.97434047,0.07660153
-0.97402047,0.06509968
-0.97370047,0.04784691
-0.97338047,0.02840884
-0.97306047,0.01909229
-0.97274047,0.00170813
-0.97242047,-0.01541325
-0.97210047,-0.03266602
-0.97178047,-0.04101302
-0.97146047,-0.06142064
-0.97114047,-0.07867341
-0.97082047,-0.09592618
-0.97050047,-0.10742800
-0.97018047,-0.11892990
-0.96986047,-0.14193360
-0.96954047,-0.15343540
-0.96922047,-0.16493730
-0.96890047,-0.18220940
-0.96858047,-0.19371130
-0.96826047,-0.20521310
-0.96794047,-0.21671490
-0.96762047,-0.22821680
-0.96730047,-0.23971860
-0.96698047,-0.24546950
-0.96666047,-0.25697140
-0.96634047,-0.28764990
-0.96602047,-0.29381160
-0.96570047,-0.29997330
-0.96538047,-0.28572600
-0.96506047,-0.31229670
-0.96474047,-0.29722790
-0.96442047,-0.32462010
-0.96410047,-0.30297880
-0.96378047,-0.33078180
-0.96346047,-0.33078180
-0.96314047,-0.33694350
-0.96282047,-0.33078180
-0.96250047,-0.33078180
-0.96218047,-0.33694350
-0.96186047,-0.33078180
-0.96154047,-0.33078180
-0.96122047,-0.32462010
-0.96090047,-0.32462010
-0.96058047,-0.31845840
-0.96026047,-0.31229670
-0.95994047,-0.29997330
-0.95962047,-0.29381160
-0.95930047,-0.28764990
-0.95898047,-0.27532650
-0.95866047,-0.26916480
-0.95834047,-0.27396410
-0.95802047,-0.25067970
-0.95770047,-0.23835630
-0.95738047,-0.22603290
-0.95706047,-0.21370950
-0.95674047,-0.20138600
-0.95642047,-0.19507220
-0.95610047,-0.18192720
-0.95578047,-0.16878230
-0.95546047,-0.13974830
-0.95514047,-0.13591990
-0.95482047,-0.11620240
-0.95450047,-0.10305740
-0.95418047,-0.08333998
-0.95386047,-0.06362253
-0.95354047,-0.04390508
-0.95322047,-0.03076011
