Время,A * B
(mс),(?)

-1.00016280,-0.17931320
-0.99984280,-0.15479640
-0.99952280,-0.16123880
-0.99920280,-0.13836520
-0.99888280,-0.14316450
-0.99856280,-0.12959360
-0.99824280,-0.12055640
-0.99792280,-0.10700060
-0.99760280,-0.09796347
-0.99728280,-0.08892631
-0.99696280,-0.07537057
-0.99664280,-0.06633341
-0.99632280,-0.05277765
-0.99600280,-0.03922191
-0.99568280,-0.02566616
-0.99536280,-0.01662899
-0.99504280,-0.00307325
-0.99472280,0.01048250
-0.99440280,0.02403825
-0.99408280,0.03307541
-0.99376280,0.04663116
-0.99344280,0.06018691
-0.99312280,0.07374266
-0.99280280,0.08729841
-0.99248280,0.09633557
-0.99216280,0.10537270
-0.99184280,0.11892850
-0.99152280,0.12796560
-0.99120280,0.14152140
-0.99088280,0.15057380
-0.99056280,0.17412100
-0.99024280,0.18397970
-0.98992280,0.19383850
-0.98960280,0.20369720
-0.98928280,0.19575960
-0.98896280,0.21848530
-0.98864280,0.22834400
-0.98832280,0.23327340
-0.98800280,0.23820270
-0.98768280,0.24313210
-0.98736280,0.25299080
-0.98704280,0.25792020
-0.98672280,0.25792020
-0.98640280,0.26284950
-0.98608280,0.26777890
-0.98576280,0.26777890
-0.98544280,0.26777890
-0.98512280,0.27270830
-0.98480280,0.27270830
-0.98448280,0.27270830
-0.98416280,0.26777890
-0.98384280,0.26284950
-0.98352280,0.26284950
-0.98320280,0.25792020
-0.98288280,0.25299080
-0.98256280,0.25299080
-0.98224280,0.24313210
-0.98192280,0.23820270
-0.98160280,0.22834400
-0.98128280,0.22341460
-0.98096280,0.23669240
-0.98064280,0.20862660
-0.98032280,0.21533180
-0.98000280,0.20465150
-0.97968280,0.19931140
-0.97936280,0.16919170
-0.97904280,0.17259270
-0.97872280,0.16191240
-0.97840280,0.14589200
-0.97808280,0.14055190
-0.97776280,0.13411080
-0.97744280,0.10851100
-0.97712280,0.09249057
-0.97680280,0.08810337
-0.97648280,0.06578984
-0.97616280,0.05934875
-0.97584280,0.03908913
-0.97552280,0.02306870
-0.97520280,0.01334137
-0.97488280,-0.00391140
-0.97456280,-0.02116417
-0.97424280,-0.03841694
-0.97392280,-0.05566971
-0.97360280,-0.06717156
-0.97328280,-0.08442433
-0.97296280,-0.09592618
-0.97264280,-0.11317890
-0.97232280,-0.13043170
-0.97200280,-0.14193360
-0.97168280,-0.15343540
-0.97136280,-0.17068820
-0.97104280,-0.18220940
-0.97072280,-0.19371130
-0.97040280,-0.20521310
-0.97008280,-0.22246590
-0.96976280,-0.24451800
-0.96944280,-0.23971860
-0.96912280,-0.25122050
-0.96880280,-0.27532650
-0.96848280,-0.26847320
-0.96816280,-0.27422420
-0.96784280,-0.27997510
-0.96752280,-0.29147690
-0.96720280,-0.29722790
-0.96688280,-0.31845840
-0.96656280,-0.32462010
-0.96624280,-0.32462010
-0.96592280,-0.33078180
-0.96560280,-0.33078180
-0.96528280,-0.33078180
-0.96496280,-0.33694350
-0.96464280,-0.33078180
-0.96432280,-0.33078180
-0.96400280,-0.32462010
-0.96368280,-0.32462010
-0.96336280,-0.32462010
-0.96304280,-0.31845840
-0.96272280,-0.31229670
-0.96240280,-0.30613500
-0.96208280,-0.29997330
-0.96176280,-0.29381160
-0.96144280,-0.30025410
-0.96112280,-0.27532650
-0.96080280,-0.26300310
-0.96048280,-0.25684140
-0.96016280,-0.24451800
-0.95984280,-0.24767420
-0.95952280,-0.21987110
-0.95920280,-0.20754780
-0.95888280,-0.19522430
-0.95856280,-0.18849970
-0.95824280,-0.17535470
-0.95792280,-0.16220980
-0.95760280,-0.13358660
-0.95728280,-0.12934740
-0.95696280,-0.10962990
-0.95664280,-0.08991246
-0.95632280,-0.07676750
-0.95600280,-0.05705004
-0.95568280,-0.03733259
-0.95536280,-0.01761514
-0.95504280,0.00210231
-0.95472280,0.01524728
-0.95440280,0.03496473
-0.95408280,0.04810970
-0.95376280,0.07439963
-0.95344280,0.08754460
-0.95312280,0.10726200
-0.95280280,0.12040700
