N,T1,T2,dT,T
0,925381,928527,3146,
1,2833543,2836702,3159,3816337
2,4572078,4575252,3174,3477085
3,6212249,6215437,3188,3280356
4,7780857,7784061,3204,3137232
5,9297810,9301028,3218,3033920
6,10770175,10773405,3230,2944742
7,12207804,12211051,3247,2875275
8,13613520,13616779,3259,2811444
9,14993340,14996614,3274,2759655
10,16347960,16351248,3288,2709254
11,17682547,17685852,3305,2669191
12,18996424,18999743,3319,2627768
13,20294271,20297605,3334,2595709
14,21574304,21577650,3346,2560078
15,22841297,22844659,3362,2534002
16,24092519,24095894,3375,2502457
17,25332773,25336164,3391,2480524
18,26558970,26562375,3405,2452408
19,27776025,27779445,3420,2434125
20,28980521,28983956,3435,2409007
21,30177217,30180666,3449,2393406
22,31362402,31365865,3463,2370384
23,32540849,32544327,3478,2356909
24,33708707,33712199,3492,2335730
25,34870690,34874197,3507,2323981
26,36022901,36026421,3520,2304435
27,37169940,37173474,3534,2294092
28,38307798,38311348,3550,2275732
29,39441170,39444732,3562,2266756
30,40566017,40569596,3579,2249711
31,41687007,41690599,3592,2241993
32,42799854,42803462,3608,2225710
33,43909312,43912933,3621,2218929
34,45011066,45014701,3635,2203522
35,46109792,46113441,3649,2197466
36,47201189,47204853,3664,2182809
37,48289958,48293636,3678,2177552
38,49371712,49375405,3693,2163523
39,50451192,50454897,3705,2158972
40,51523946,51527667,3721,2145524
41,52594741,52598477,3736,2141605
42,53659038,53662788,3750,2128608
43,54721689,54725455,3766,2125318
44,55778028,55781806,3778,2112690
45,56832976,56836769,3793,2109911
46,57881857,57885663,3806,2097775
47,58929549,58933370,3821,2095399
48,59971399,59975234,3835,2083714
49,61012269,61016117,3848,2081753
50,62047469,62051332,3863,2070415
51,63081868,63085745,3877,2068812
52,64110718,64114610,3892,2057715
53,65138976,65142882,3906,2056530
54,66161827,66165745,3918,2045714
55,67184233,67188166,3933,2044827
56,68201338,68205286,3948,2034225
57,69218189,69222151,3962,2033716
58,70229868,70233845,3977,2023373
59,71241466,71245457,3991,2023210
60,72247979,72251984,4005,2013040
61,73254526,73258544,4018,2013107
62,74256099,74260132,4033,2003161
63,75257806,75261853,4047,2003428
64,76254610,76258672,4062,1993623
65,77251687,77255761,4074,1994166
66,78243994,78248084,4090,1984630
67,79236674,79240777,4103,1985373
68,80224670,80228786,4116,1976005
69,81213125,81217256,4131,1976925
70,82196949,82201095,4146,1967663
71,83181345,83185504,4159,1968805
72,84161165,84165339,4174,1959655
73,85141667,85145855,4188,1961018
74,86117632,86121835,4203,1951945
75,87094376,87098595,4219,1953504
76,88066635,88070866,4231,1944530
77,89039737,89043983,4246,1946219
78,90008386,90012644,4258,1937310
79,90977953,90982226,4273,1939149
80,91943119,91947406,4287,1930346
81,92909282,92913585,4303,1932342
82,93871110,93875426,4316,1923669
83,94834022,94838354,4332,1925840
84,95792598,95796943,4345,1917165
85,96752373,96756733,4360,1919565
86,97707863,97712236,4373,1910993
87,98664643,98669032,4389,1913576
88,99617144,99621547,4403,1905016
89,100570999,100575416,4417,1907724
90,101520606,101525036,4430,1899227
91,102471603,102476048,4445,1902009
92,103418397,103422856,4459,1893602
93,104366672,104371147,4475,1896566
94,105310758,105315244,4486,1888183
95,106256375,106260877,4502,1891250
96,107197840,107202357,4517,1882945
97,108140910,108145441,4531,1886154
