N,T1,T2,dT,T
187,195930115,195936702,6587,1803487
188,196828638,196835242,6604,1797063
189,197729617,197736241,6624,1801978
190,198627363,198634003,6640,1795508
191,199527611,199534270,6659,1800515
192,200424582,200431258,6676,1793959
193,201324074,201330772,6698,1799006
194,202220296,202227009,6713,1792459
195,203119055,203125787,6732,1797537
196,204014553,204021302,6749,1791013
197,204912605,204919373,6768,1796123
198,205807373,205814159,6786,1789554
199,206704743,206711546,6803,1794757
200,207598787,207605610,6823,1788108
201,1144294,1153232,8938,8177027721
202,2016101,2025062,8961,1743637
203,2883850,2892831,8981,1735518
204,3755431,3764433,9002,1743183
205,4622868,4631889,9021,1734893
206,5494188,5503227,9039,1742658
207,6361316,6370376,9060,1734277
208,7232391,7241470,9079,1742169
209,8099242,8108342,9100,1733723
210,8970032,8979151,9119,1741599
211,9836592,9845730,9138,1733139
212,10707102,10716261,9159,1741041
213,11573386,11582564,9178,1732587
214,12443613,12452812,9199,1740475
215,13309627,13318845,9218,1732047
216,14179614,14188853,9239,1739995
217,15045342,15054602,9260,1731477
218,15915079,15924358,9279,1739493
219,16780530,16789832,9302,1730925
220,17650006,17659325,9319,1738969
221,18515145,18524485,9340,1730299
222,19384361,19393722,9361,1738453
223,20249225,20258609,9384,1729751
224,21118184,21127586,9402,1737936
225,21982756,21992178,9422,1729164
226,22851484,22860927,9443,1737477
227,23715778,23725241,9463,1728608
228,24584239,24593722,9483,1736942
229,25448268,25457770,9502,1728077
230,26316506,26326029,9523,1736497
231,27180242,27189786,9544,1727493
232,1067749,1085067,17318,8537717380
233,1918533,1935876,17343,1701593
234,2761680,2779058,17378,1686329
235,3612226,3629625,17399,1701113
236,4455621,4473043,17422,1686813
237,5306024,5323469,17445,1700829
238,6149345,6166819,17474,1686671
239,6999777,7017277,17500,1700890
240,7842980,7860502,17522,1686428
241,8693384,8710932,17548,1700834
242,9536549,9554125,17576,1686358
243,10386932,10404532,17600,1700790
244,11230047,11247674,17627,1686257
245,12080406,12098056,17650,1700741
246,12923470,12941146,17676,1686154
247,13773786,13791487,17701,1700657
248,14616792,14634519,17727,1686038
249,15467071,15484821,17750,1700581
250,16310008,16327788,17780,1685904
251,17160262,17178064,17802,1700530
252,18003153,18020984,17831,1685811
253,18853383,18871236,17853,1700482
254,19696216,19714098,17882,1685695
255,20546406,20564309,17903,1700401
256,21389194,21407123,17929,1685602
257,22239381,22257335,17954,1700399
258,23082143,23100122,17979,1685549
259,23932279,23950284,18005,1700298
260,24774978,24793009,18031,1685424
261,25625109,25643163,18054,1700285
262,26467756,26485840,18084,1685324
263,1262896,1349312,86416,8539593204
264,2121001,2207697,86696,1716490
265,2940932,3027666,86734,1639900
266,3800130,3887007,86877,1718539
267,4619841,4706853,87012,1639557
268,5479123,5566272,87149,1718701
269,6298800,6386083,87283,1639488
270,7158113,7245537,87424,1718767
271,7977725,8065311,87586,1639386
272,8837079,8924809,87730,1718852
273,9656623,9744498,87875,1639233
274,10516003,10604031,88028,1718913
275,11335454,11423635,88181,1639055
276,12194928,12283284,88356,1719123
277,13014211,13102727,88516,1638726
278,13873794,13962463,88669,1719319
