V (мл);t_1 (с);t_2 (с);t_3 (с);t_4 (с);t_5 (с);t_6 (с);t_7 (с);t_8 (с);t_9 (с);t_{10} (с)
19;1.860;1.360;1.640;1.500;1.380;1.440;1.210;1.700;1.430;1.650
18;1.780;1.690;1.560;1.750;1.310;1.830;2.260;1.670;1.870;1.540
17;2.140;1.830;2.030;1.670;2.120;1.560;1.660;1.730;1.720;1.460
16;1.720;1.880;1.850;1.900;1.810;1.920;1.630;1.550;1.860;1.830
15;1.510;1.760;1.900;1.660;1.900;1.760;1.850;2.010;1.810;2.220
14;2.420;2.300;2.240;2.100;1.750;2.460;2.240;2.460;2.330;1.960
13;2.340;2.330;2.120;2.250;2.330;2.440;2.330;1.750;2.120;2.200
12;2.280;1.990;2.410;2.510;2.270;2.320;2.680;2.440;2.510;2.130
11;3.230;2.700;2.820;2.560;2.380;2.640;2.600;2.700;3.180;2.630
10;3.270;2.740;3.000;3.150;3.260;3.130;1.760;2.980;2.310;2.840
9 ;3.460;3.700;3.210;2.970;2.870;3.260;4.540;3.270;3.680;2.930
8 ;4.000;3.500;3.410;3.430;3.050;3.220;3.460;3.790;3.740;3.590
7 ;4.330;3.360;4.130;3.890;4.540;4.470;4.050;4.670;3.900;3.960
6 ;4.830;4.910;5.440;5.430;4.420;4.600;4.910;3.360;3.780;3.820
5 ;7.030;5.140;4.350;4.860;4.960;5.730;4.660;6.160;6.330;6.110
4 ;9.280;6.830;7.360;7.530;7.370;6.830;6.500;7.150;6.770;6.520
3 ;10.22;8.820;8.310;11.05;9.460;9.830;8.600;9.960;9.850;9.110
