V (мл);t_1 (с);t_2 (с);t_3 (с);t_4 (с);t_5 (с);t_6 (с);t_7 (с);t_8 (с);t_9 (с);t_{10} (с)
19;6.000;4.140;5.060;4.650;4.120;4.600;5.100;4.910;4.400;5.020
18;6.700;4.280;4.230;4.170;3.970;5.650;4.230;5.120;4.180;4.760
17;6.120;5.160;4.420;4.660;5.200;4.610;5.920;4.990;5.400;5.310
16;5.830;5.160;4.640;4.930;4.790;5.080;5.470;4.290;6.010;5.880
15;6.910;5.600;6.160;5.050;4.830;6.160;6.300;5.810;4.800;5.460
14;7.460;5.790;6.320;5.370;5.290;6.110;6.350;6.000;7.180;7.710
13;7.460;6.040;6.630;5.430;6.030;6.230;7.110;5.180;4.680;6.300
12;9.000;6.480;5.800;5.830;5.670;7.120;7.050;7.470;6.800;7.850
11;9.160;7.040;8.160;6.720;6.890;9.030;9.030;7.560;7.210;7.010
10;10.02;7.600;9.410;7.390;6.720;7.610;9.570;9.030;10.08;9.930
9 ;10.91;7.720;7.560;7.630;7.070;8.750;10.61;7.850;6.720;9.150
8 ;12.22;8.930;11.25;8.510;6.720;10.33;11.18;10.82;10.69;11.34
7 ;13.07;10.91;14.09;9.520;9.070;10.50;12.89;11.78;9.140;13.88
6 ;16.04;12.25;13.41;10.66;9.290;11.99;14.40;14.76;11.86;14.41
5 ;20.10;10.34;17.10;11.87;12.55;17.61;15.26;24.82;15.50;19.55
