date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-02-27, 14:27:10	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:12	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:14	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:16	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:18	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:20	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:22	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:24	0 Hz	0 W	9,6E1 mbar	6,3E1 mbar
2020-02-27, 14:27:26	0 Hz	0 W	9E1 mbar	6E1 mbar
2020-02-27, 14:27:28	0 Hz	0 W	6,8E1 mbar	5,1E1 mbar
2020-02-27, 14:27:30	0 Hz	0 W	5,8E1 mbar	4E1 mbar
2020-02-27, 14:27:32	0 Hz	0 W	4,7E1 mbar	3,6E1 mbar
2020-02-27, 14:27:34	0 Hz	0 W	3,8E1 mbar	3,2E1 mbar
2020-02-27, 14:27:36	0 Hz	0 W	3,4E1 mbar	2,8E1 mbar
2020-02-27, 14:27:38	0 Hz	0 W	3,1E1 mbar	2,5E1 mbar
2020-02-27, 14:27:40	0 Hz	0 W	2,6E1 mbar	2E1 mbar
2020-02-27, 14:27:42	0 Hz	0 W	2,2E1 mbar	1,8E1 mbar
2020-02-27, 14:27:44	0 Hz	0 W	1,9E1 mbar	1,7E1 mbar
2020-02-27, 14:27:46	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2020-02-27, 14:27:48	0 Hz	0 W	1,6E1 mbar	1,4E1 mbar
2020-02-27, 14:27:50	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2020-02-27, 14:27:52	0 Hz	0 W	1,3E1 mbar	1,1E1 mbar
2020-02-27, 14:27:54	0 Hz	0 W	1,1E1 mbar	9,8E0 mbar
2020-02-27, 14:27:56	0 Hz	0 W	1E1 mbar	9,2E0 mbar
2020-02-27, 14:27:58	0 Hz	0 W	9,4E0 mbar	8,6E0 mbar
2020-02-27, 14:28:00	0 Hz	0 W	8,8E0 mbar	8E0 mbar
2020-02-27, 14:28:02	0 Hz	0 W	8,2E0 mbar	7,5E0 mbar
2020-02-27, 14:28:04	0 Hz	0 W	7,7E0 mbar	6,9E0 mbar
2020-02-27, 14:28:06	0 Hz	0 W	7,1E0 mbar	6,7E0 mbar
2020-02-27, 14:28:08	0 Hz	0 W	6,8E0 mbar	6,4E0 mbar
2020-02-27, 14:28:10	0 Hz	0 W	6,7E0 mbar	6,2E0 mbar
2020-02-27, 14:28:12	0 Hz	0 W	6,4E0 mbar	6E0 mbar
2020-02-27, 14:28:14	0 Hz	0 W	6,2E0 mbar	5,8E0 mbar
2020-02-27, 14:28:16	0 Hz	0 W	6E0 mbar	5,6E0 mbar
2020-02-27, 14:28:18	0 Hz	0 W	5,8E0 mbar	5,4E0 mbar
2020-02-27, 14:28:20	0 Hz	0 W	5,6E0 mbar	5,2E0 mbar
2020-02-27, 14:28:22	0 Hz	0 W	5,4E0 mbar	5,1E0 mbar
2020-02-27, 14:28:24	0 Hz	0 W	5,3E0 mbar	4,9E0 mbar
