date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-02-27, 15:33:18	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2020-02-27, 15:33:20	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2020-02-27, 15:33:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-02-27, 15:33:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-02-27, 15:33:26	0 Hz	0 W	3,8E0 mbar	3,7E0 mbar
2020-02-27, 15:33:28	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-02-27, 15:33:30	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-02-27, 15:33:32	0 Hz	0 W	3,7E0 mbar	3,6E0 mbar
2020-02-27, 15:33:34	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-02-27, 15:33:36	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-02-27, 15:33:38	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-02-27, 15:33:40	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2020-02-27, 15:33:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-02-27, 15:33:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-02-27, 15:33:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-02-27, 15:33:48	0 Hz	0 W	3,5E0 mbar	3,4E0 mbar
2020-02-27, 15:33:50	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:52	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:54	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:56	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:58	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:34:00	0 Hz	0 W	3,4E0 mbar	3,3E0 mbar
2020-02-27, 15:34:02	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:04	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:06	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:08	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:10	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:12	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:14	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:16	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
2020-02-27, 15:34:18	0 Hz	0 W	3,3E0 mbar	3,2E0 mbar
2020-02-27, 15:34:20	0 Hz	0 W	3,3E0 mbar	3,2E0 mbar
2020-02-27, 15:34:22	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:24	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:26	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:28	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:30	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:32	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:34	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:36	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:38	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:40	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:42	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:44	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:46	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:48	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:50	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:52	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:54	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:56	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:34:58	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:00	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:02	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:04	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:06	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:08	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:10	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:12	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:14	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:16	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:18	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:20	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:22	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:24	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:26	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:28	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:30	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:32	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
2020-02-27, 15:35:34	0 Hz	0 W	3,3E0 mbar	3,1E0 mbar
