t (s),V (mV)
0,14.7149
1.048,14.6742
2.098,14.5802
3.132,14.5106
4.132,14.4064
5.132,14.3279
6.133,14.256
7.133,14.2015
8.132,14.1172
9.132,13.9832
10.132,13.9171
11.132,13.8457
12.137,13.8014
13.132,13.7168
14.132,13.6525
15.132,13.5726
16.132,13.4872
17.133,13.4124
18.132,13.3261
19.132,13.2648
20.132,13.1977
21.132,13.1403
22.132,13.05
23.133,12.9841
24.133,12.9204
25.132,12.8789
26.132,12.876
27.133,12.769
28.132,12.7321
29.132,12.5949
30.132,12.5527
31.132,12.4632
32.133,12.4245
33.132,12.3237
34.132,12.2625
35.132,12.2075
36.132,12.1415
37.132,12.0972
38.132,12.0607
39.132,11.9517
40.133,11.8876
41.132,11.8041
42.133,11.7664
43.132,11.6693
44.133,11.6129
45.132,11.5435
46.132,11.4849
47.133,11.4113
48.132,11.3533
49.132,11.3094
50.132,11.2377
51.133,11.1526
52.132,11.0961
53.133,11.0469
54.132,10.9849
55.132,10.9348
56.132,10.8925
57.132,10.7949
58.132,10.7383
59.132,10.7258
60.133,10.6206
61.132,10.5915
62.131,10.5166
63.131,10.4465
64.131,10.4287
65.132,10.4236
66.131,10.3835
67.131,10.2742
68.131,10.2386
69.131,10.1574
70.131,10.1184
71.131,10.0573
72.132,9.9985
73.132,9.9698
74.133,9.9034
75.132,9.8812
76.133,9.7858
77.132,9.716
78.137,9.6857
79.132,9.6695
80.132,9.6261
81.132,9.5665
82.132,9.4488
83.132,9.4047
84.132,9.362
85.132,9.3111
86.132,9.2588
87.132,9.2232
88.132,9.1851
89.132,9.1277
90.133,9.0827
91.132,9.0578
92.132,8.9928
93.133,8.9933
94.132,8.9577
95.133,8.8821
96.132,8.8181
97.132,8.7636
98.132,8.7372
99.133,8.7561
100.132,8.6779
101.133,8.6169
102.132,8.5763
103.132,8.5655
104.133,8.5221
105.132,8.4627
106.133,8.3785
107.132,8.3364
108.137,8.2785
109.132,8.2329
110.132,8.2051
111.133,8.1563
112.132,8.1006
113.132,8.0381
114.132,8.0165
115.132,7.9667
116.132,7.9182
117.133,7.8512
118.132,7.8425
119.132,7.8056
120.137,7.7857
121.133,7.731
122.132,7.6843
123.132,7.6829
124.132,7.5322
125.132,7.5612
126.132,7.5457
127.133,7.4182
128.132,7.4226
129.132,7.3883
130.132,7.3385
131.132,7.2925
132.132,7.2663
133.133,7.1898
134.132,7.1645
135.132,7.1382
136.132,7.1256
137.132,7.0775
138.132,7.04
139.133,6.9881
140.132,6.9228
141.132,6.8869
142.132,6.8556
143.132,6.8345
144.132,6.7787
145.132,6.7301
146.133,6.707
147.132,6.6923
148.133,6.6289
149.132,6.5752
150.132,6.5532
151.132,6.5148
152.132,6.4639
153.133,6.399
154.132,6.358
155.132,6.3587
156.137,6.3189
157.132,6.2903
158.132,6.2564
159.132,6.2263
160.132,6.1868
161.132,6.1719
162.137,6.1058
163.132,6.0828
164.132,6.0667
165.132,6.0387
166.132,5.9842
167.132,5.9777
168.132,5.9422
169.132,5.9155
170.132,5.8643
171.132,5.8264
172.132,5.7268
173.132,5.7548
174.132,5.7334
175.132,5.6449
176.132,5.6613
177.132,5.6227
178.132,5.5655
179.132,5.5429
180.132,5.5381
181.132,5.5261
182.132,5.4733
183.132,5.437
184.132,5.4126
185.132,5.3928
186.137,5.3546
187.132,5.2629
188.132,5.2748
189.132,5.2588
190.133,5.2457
191.132,5.2201
192.137,5.2124
193.132,5.1767
194.132,5.1379
195.132,5.1222
196.132,5.0984
197.132,5.0998
198.133,5.0461
199.132,5.0225
200.132,5.0248
201.132,5.0162
202.132,4.9952
203.132,4.9295
204.132,4.8981
205.132,4.8475
206.132,4.8004
207.132,4.7764
208.132,4.7302
209.132,4.7055
210.132,4.6838
211.132,4.6566
212.132,4.6288
213.133,4.5955
214.132,4.5721
215.132,4.5487
216.137,4.5201
217.132,4.5131
218.132,4.4658
219.137,4.4564
220.132,4.3634
221.131,4.4
222.132,4.3646
223.132,4.3245
224.132,4.3172
225.132,4.315
226.132,4.3058
227.132,4.3056
228.132,4.2742
229.132,4.1871
230.132,4.2378
231.132,4.2164
232.132,4.1999
233.132,4.2021
234.137,4.161
235.132,4.1495
236.132,4.1132
237.132,4.1061
238.132,4.08
239.132,4.0683
240.133,4.0682
241.132,4.0022
242.132,3.963
243.132,3.9459
244.132,3.9253
245.132,3.8406
246.132,3.879
247.132,3.8665
248.132,3.8591
249.132,3.8169
250.132,3.804
251.132,3.7787
252.132,3.7956
253.132,3.7516
254.132,3.7452
255.132,3.7217
256.132,3.7093
257.132,3.6864
258.133,3.6546
259.132,3.6127
260.132,3.608
261.132,3.6313
262.132,3.5767
263.132,3.5258
264.132,3.5226
265.132,3.5107
266.132,3.4825
267.132,3.4606
268.132,3.4496
269.132,3.4225
270.133,3.4013
271.132,3.3712
272.132,3.3766
273.133,3.3571
274.132,3.327
275.132,3.3212
276.133,3.2802
