t (s),V (mV)
0,12.3593
0.973,12.77
1.904,12.8595
2.867,12.9057
3.852,12.9342
4.852,12.8852
5.853,12.8471
6.852,12.814
7.852,12.7951
8.852,12.7061
9.852,12.7444
10.852,12.7168
11.852,12.6852
12.852,12.6611
13.852,12.6493
14.852,12.6031
15.853,12.562
16.852,12.548
17.853,12.5156
18.852,12.479
19.852,12.4729
20.852,12.4536
21.852,12.4061
22.853,12.3831
23.852,12.3817
24.852,12.3529
25.852,12.3209
26.852,12.3146
27.852,12.2619
28.852,12.2218
29.852,12.1908
30.852,12.1687
31.852,12.1408
32.852,12.1411
33.853,12.0796
34.852,12.0886
35.852,12.0406
36.852,12.0249
37.852,11.9809
38.853,11.9393
39.852,11.9336
40.852,11.8353
41.852,11.9067
42.852,11.8847
43.852,11.7776
44.852,11.8123
45.853,11.8144
46.852,11.7702
47.853,11.7399
48.852,11.7697
49.852,11.7359
50.852,11.7004
51.852,11.677
52.852,11.6502
53.853,11.5697
54.852,11.5292
55.852,11.5076
56.853,11.5459
57.852,11.5368
58.853,11.5302
59.852,11.483
60.852,11.4375
61.852,11.4198
62.852,11.4268
63.852,11.4197
64.852,11.383
65.852,11.3564
66.852,11.3601
67.852,11.3136
68.852,11.3094
69.852,11.2775
70.853,11.2504
71.852,11.2575
72.852,11.2359
73.852,11.1966
74.852,11.1682
75.853,11.1504
76.852,11.1393
77.852,11.1484
78.853,11.1119
79.852,11.0917
80.852,11.0555
81.852,10.9692
82.853,10.9902
83.853,10.9961
84.852,10.9836
85.852,10.9438
86.853,10.9288
87.852,10.896
88.853,10.8928
89.852,10.8847
90.852,10.833
91.852,10.8049
92.852,10.7941
93.852,10.7933
94.852,10.774
95.852,10.766
96.852,10.7378
97.853,10.7189
98.852,10.7109
99.853,10.7009
100.852,10.6635
101.853,10.6506
102.852,10.6302
103.852,10.5985
104.852,10.6105
105.851,10.5602
106.851,10.5245
107.851,10.5313
108.851,10.5095
109.851,10.5222
110.852,10.4799
111.851,10.4814
112.851,10.4463
113.852,10.4283
114.851,10.4165
115.851,10.3971
116.851,10.3769
117.851,10.373
118.851,10.3706
119.851,10.3335
120.851,10.297
121.852,10.2873
122.851,10.2585
123.851,10.2458
124.851,10.2146
125.851,10.2042
126.851,10.1931
127.851,10.1717
128.852,10.1651
129.851,10.1517
130.851,10.1396
131.851,10.1296
132.852,10.1588
133.852,10.1389
134.851,10.0798
135.851,10.0536
136.851,10.0411
137.851,10.037
138.851,10
139.852,9.9872
140.853,9.9696
141.852,9.9645
142.852,9.9465
143.852,9.9823
144.852,9.9169
145.853,9.9023
146.852,9.875
147.853,9.8709
148.852,9.8659
149.852,9.8085
150.852,9.8035
151.853,9.8242
152.852,9.7187
153.853,9.7762
154.852,9.7677
155.852,9.7484
156.852,9.7282
157.852,9.7223
158.852,9.7023
159.852,9.6905
160.853,9.6768
161.853,9.6666
162.852,9.6461
163.852,9.5859
164.852,9.6122
165.852,9.6057
166.852,9.5756
167.852,9.5635
168.853,9.553
169.852,9.5374
170.852,9.5477
171.853,9.5288
172.852,9.5274
173.852,9.5121
174.852,9.4746
175.852,9.4705
176.852,9.4318
177.852,9.3892
178.852,9.3917
179.853,9.3731
180.852,9.3737
181.853,9.3588
182.852,9.3494
183.852,9.3465
184.852,9.332
185.852,9.2929
186.852,9.296
187.852,9.2842
188.852,9.2821
189.853,9.2514
190.852,9.2467
191.853,9.2552
192.852,9.1859
193.852,9.2012
194.852,9.1736
195.852,9.1457
196.853,9.1357
197.852,9.1442
198.852,9.1186
199.853,9.1239
200.852,9.0987
201.852,9.0831
202.852,9.0615
203.852,9.0218
204.852,9.0002
205.852,9.0139
206.852,9.0176
207.852,8.9983
208.852,8.9849
209.852,8.9824
210.852,8.9502
211.852,8.943
212.852,8.9679
213.853,8.9589
214.852,8.9172
215.852,8.9195
216.853,8.8779
217.853,8.8765
218.852,8.8699
219.853,8.8503
220.852,8.8368
221.852,8.8311
222.853,8.7977
223.852,8.8121
224.852,8.79
225.852,8.775
226.852,8.7658
227.853,8.726
228.853,8.7187
229.852,8.7245
230.852,8.6987
231.852,8.6861
232.853,8.6729
233.853,8.7137
234.852,8.7029
235.852,8.6658
236.852,8.6457
237.852,8.637
238.852,8.5879
239.852,8.5153
240.852,8.559
241.853,8.5635
242.852,8.5653
243.853,8.5342
244.852,8.5199
245.853,8.5186
246.852,8.4942
247.852,8.5132
248.852,8.4606
249.852,8.4461
250.852,8.4434
251.852,8.4404
252.852,8.4146
253.852,8.4203
254.852,8.3961
