U I
465 93,37
680 136,9
605 121,39
590 118,33
512,5 102,88
495 99,8
540 108,92
615 123,53
705 141,59
730 146,5
637,5 128
587,5 118,01
540 108,39
490 98,4
475 95,3
457,5 92,1
500 100,74
525 105,72
565 113,57
630 126,42
