4	-0.137	20.64
3.5	-0.119	20.64
3	-0.098	20.83
2.5	-0.075	20.79
2	-0.057	20.85

4	-0.131	29.34
3.5	-0.112	29.57
3	-0.092	29.71
2.5	-0.073	29.68
2	-0.052	29.68

4	-0.13	40.06
3.5	-0.105	40.07
3	-0.086	40.05
2.5	-0.069	40.04
2	-0.05	40.02

4	-0.115	50
3.5	-0.101	50.01
3	-0.081	50.03
2.5	-0.066	50.04
2	-0.053	50.03

4	-0.105	60
3.5	-0.091	60
3	-0.078	60
2.5	-0.058	60.02
2	-0.048	60.01
