V (мл);t_1 (с);t_2 (с);t_3 (с);t_4 (с);t_5 (с);t_6 (с);t_7 (с);t_8 (с);t_9 (с);t_{10} (с)
19;6.00;4.14;5.06;4.65;4.12;4.60;5.10;4.91;4.40;5.02
18;6.70;4.28;4.23;4.17;3.97;5.65;4.23;5.12;4.18;4.76
17;6.12;5.16;4.42;4.66;5.20;4.61;5.92;4.99;5.40;5.31
16;5.83;5.16;4.64;4.93;4.79;5.08;5.47;4.29;6.01;5.88
15;6.91;5.60;6.16;5.05;4.83;6.16;6.30;5.81;4.80;5.46
14;7.46;5.79;6.32;5.37;5.29;6.11;6.35;6.00;7.18;7.71
13;7.46;6.04;6.63;5.43;6.03;6.23;7.11;5.18;4.68;6.30
12;9.00;6.48;5.80;5.83;5.67;7.12;7.05;7.47;6.80;7.85
11;9.16;7.04;8.16;6.72;6.89;9.03;9.03;7.56;7.21;7.01
10;10.02;7.60;9.41;7.39;6.72;7.61;9.57;9.03;10.08;9.93
9;10.91;7.72;7.56;7.63;7.07;8.75;10.61;7.85;6.72;9.15
8;12.22;8.93;11.25;8.51;6.72;10.33;11.18;10.82;10.69;11.34
7;13.07;10.91;14.09;9.52;9.07;10.50;12.89;11.78;9.14;13.88
6;16.04;12.25;13.41;10.66;9.29;11.99;14.40;14.76;11.86;14.41
5;20.10;10.34;17.10;11.87;12.55;17.61;15.26;24.82;15.50;19.55
