x;I
0;42
0.25;40
0.5;41
0.75;40
1;40
1.25;41
1.5;36
1.75;31
2;23
2.25;15
2.5;5
2.75;0
3;0
3.25;0
3.5;4
3.75;10
4;14
4.25;21
4.5;27
4.75;33
5;39
