t,V
0,-30.8
0.5,-30.8
1,-30.8
1.5,-30.8
2,-30.8
2.5,-30.8
3,-30.8
3.5,-24
4,-17.6
4.5,-10.4
5,-1.2
5.5,6
6,12.4
6.5,17.6
7,23.6
7,26.8
7.5,26.8
8,28
8.5,26.4
9,25.2
9.5,24.8
10,21.6
10.5,23.2
11,20.8
11.5,20.4
12,24
12.5,24
13,20.4
13.5,19.6
14,18
14.5,19.6
15,17.6
15.5,17.2
16,17.6
16.5,16
17,17.2
17.5,14.4
18,17.2
18.5,14.8
19,12.8
19.5,14
20,12
20.5,12.8
21,11.6
21.5,13.6
22,10.8
22.5,11.6
23,10
23.5,10.8
24,8
24.5,10
25,8.8
25.5,7.2
26,8.8
26.5,8
27,5.2
27.5,8
28,7.6
28.5,6.8
29,4
29.5,3.6
30,3.6
30.5,6
31,4.4
31.5,5.2
32,3.6
32.5,0.8
33,3.6
33.5,2.4
34,4
34.5,2.8
35,2
35.5,1.6
36,2.4
36.5,1.2
37,-0.8
37.5,-0.4
38,0.8
38.5,-1.2
39,-0.8
39.5,-2
40,-3.6
40.5,-2
41,-1.6
41.5,-3.6
42,-3.2
42.5,-3.6
43,-4.4
43.5,-2.8
44,-2.4
44.5,-4.8
45,-4.8
45.5,-6
46,-4.4
46.5,-4.8
47,-6.4
47.5,-4
48,-8.4
48.5,-6.4
49,-4
49.5,-6
50,-9.6
50.5,-5.6
51,-9.2
51.5,-7.6
52,-7.6
52.5,-10.4
53,-10.8
53.5,-5.6
54,-10.4
54.5,-9.6
55,-11.6
55.5,-11.6
56,-10
56.5,-9.2
57,-11.6
57.5,-11.6
58,-12.4
58.5,-13.2
59,-12.8
59.5,-9.6
60,-13.2
60.5,-14.4
61,-12.4
61.5,-13.2
62,-14.4
62.5,-14.4
63,-14.8
63.5,-14
64,-14.8
64.5,-13.6
65,-16.4
65.5,-15.6
66,-14.8
66.5,-17.6
67,-15.2
67.5,-17.2
68,-15.2
68.5,-15.6
69,-17.2
69.5,-17.6
70,-15.6
70.5,-17.6
71,-18
71.5,-16
72,-17.2
72.5,-19.6
73,-17.6
73.5,-17.2
74,-18.4
74.5,-17.6
75,-20.4
75.5,-19.6
76,-21.2
76.5,-19.6
77,-19.2
77.5,-19.2
78,-20
78.5,-20
79,-19.6
79.5,-21.6
80,-20.4
80.5,-20.8
81,-21.2
81.5,-20.8
82,-19.2
82.5,-21.2
83,-21.6
83.5,-21.6
84,-21.2
84.5,-21.6
85,-23.6
85.5,-22
86,-22.8
86.5,-23.2
87,-22.8
87.5,-23.2
88,-23.2
88.5,-22.8
89,-22.4
89.5,-24
90,-24
90.5,-24
91,-24.8
91.5,-24
92,-23.6
92.5,-24
93,-23.2
93.5,-24.8
94,-24.8
94.5,-24.4
95,-25.2
95.5,-24.8
96,-24.8
96.5,-24.4
97,-26
97.5,-26
98,-24.4
98.5,-26.8
99,-26
99.5,-26
