date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-23, 14:35:42	0 Hz	0 W	3,6E1 mbar	2,7E1 mbar
2022-04-23, 14:35:44	0 Hz	0 W	3,2E1 mbar	2,3E1 mbar
2022-04-23, 14:35:46	0 Hz	0 W	2,8E1 mbar	2E1 mbar
2022-04-23, 14:35:48	0 Hz	0 W	2,4E1 mbar	1,8E1 mbar
2022-04-23, 14:35:50	0 Hz	0 W	2E1 mbar	1,7E1 mbar
2022-04-23, 14:35:52	0 Hz	0 W	1,8E1 mbar	1,6E1 mbar
2022-04-23, 14:35:54	0 Hz	0 W	1,7E1 mbar	1,4E1 mbar
2022-04-23, 14:35:56	0 Hz	0 W	1,6E1 mbar	1,3E1 mbar
2022-04-23, 14:35:58	0 Hz	0 W	1,4E1 mbar	1,2E1 mbar
2022-04-23, 14:36:00	0 Hz	0 W	1,3E1 mbar	1E1 mbar
2022-04-23, 14:36:02	0 Hz	0 W	1,2E1 mbar	9,6E0 mbar
2022-04-23, 14:36:04	0 Hz	0 W	1E1 mbar	9,2E0 mbar
2022-04-23, 14:36:06	0 Hz	0 W	9,8E0 mbar	8,7E0 mbar
2022-04-23, 14:36:08	0 Hz	0 W	9,3E0 mbar	8,2E0 mbar
2022-04-23, 14:36:10	0 Hz	0 W	8,8E0 mbar	7,7E0 mbar
2022-04-23, 14:36:12	0 Hz	0 W	8,3E0 mbar	7,3E0 mbar
2022-04-23, 14:36:14	0 Hz	0 W	8E0 mbar	6,9E0 mbar
2022-04-23, 14:36:16	0 Hz	0 W	7,5E0 mbar	6,7E0 mbar
2022-04-23, 14:36:18	0 Hz	0 W	7,3E0 mbar	6,5E0 mbar
2022-04-23, 14:36:20	0 Hz	0 W	6,9E0 mbar	6,4E0 mbar
2022-04-23, 14:36:22	0 Hz	0 W	6,7E0 mbar	6,2E0 mbar
2022-04-23, 14:36:24	0 Hz	0 W	6,6E0 mbar	6,1E0 mbar
2022-04-23, 14:36:26	0 Hz	0 W	6,4E0 mbar	5,9E0 mbar
2022-04-23, 14:36:28	0 Hz	0 W	6,3E0 mbar	5,8E0 mbar
2022-04-23, 14:36:30	0 Hz	0 W	6,2E0 mbar	5,7E0 mbar
2022-04-23, 14:36:32	0 Hz	0 W	6,1E0 mbar	5,6E0 mbar
2022-04-23, 14:36:34	0 Hz	0 W	5,9E0 mbar	5,4E0 mbar
2022-04-23, 14:36:36	0 Hz	0 W	5,8E0 mbar	5,3E0 mbar
2022-04-23, 14:36:38	0 Hz	0 W	5,8E0 mbar	5,2E0 mbar
2022-04-23, 14:36:40	0 Hz	0 W	5,7E0 mbar	5,1E0 mbar
2022-04-23, 14:36:42	0 Hz	0 W	5,6E0 mbar	5,1E0 mbar
2022-04-23, 14:36:44	0 Hz	0 W	5,5E0 mbar	5E0 mbar
2022-04-23, 14:36:46	0 Hz	0 W	5,4E0 mbar	4,9E0 mbar
2022-04-23, 14:36:48	0 Hz	0 W	5,3E0 mbar	4,8E0 mbar
2022-04-23, 14:36:50	0 Hz	0 W	5,3E0 mbar	4,8E0 mbar
2022-04-23, 14:36:52	0 Hz	0 W	5,2E0 mbar	4,7E0 mbar
2022-04-23, 14:36:54	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-04-23, 14:36:56	0 Hz	0 W	5,1E0 mbar	4,6E0 mbar
2022-04-23, 14:36:58	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-23, 14:37:00	0 Hz	0 W	5E0 mbar	4,5E0 mbar
2022-04-23, 14:37:02	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-23, 14:37:04	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-23, 14:37:06	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-23, 14:37:08	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-23, 14:37:10	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-23, 14:37:12	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-23, 14:37:14	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-23, 14:37:16	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-23, 14:37:18	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-23, 14:37:20	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-23, 14:37:22	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-23, 14:37:24	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-23, 14:37:26	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2022-04-23, 14:37:28	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2022-04-23, 14:37:30	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-04-23, 14:37:32	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-04-23, 14:37:34	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-23, 14:37:36	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-23, 14:37:38	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-04-23, 14:37:40	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
