t (s),V (mV)
0,19.8276
0.969,19.8157
1.902,19.7997
2.869,19.7751
3.805,19.7513
4.804,19.7247
5.804,19.6833
6.804,19.6626
7.805,19.6198
8.804,19.5888
9.804,19.5439
10.804,19.5077
11.804,19.47
12.804,19.4398
13.804,19.3974
14.804,19.3606
15.805,19.3241
16.805,19.2886
17.805,19.2445
18.805,19.2091
19.805,19.1668
20.804,19.131
21.804,19.0993
22.805,19.055
23.805,19.0176
24.804,18.988
25.804,18.9559
26.804,18.9113
27.804,18.8669
28.805,18.824
29.804,18.7886
30.805,18.7569
31.805,18.7176
32.805,18.6788
33.805,18.6477
34.804,18.613
35.804,18.574
36.804,18.5307
37.805,18.5023
38.804,18.4633
39.804,18.431
40.804,18.3941
41.804,18.3585
42.805,18.336
43.804,18.307
44.805,18.2622
45.804,18.2327
46.804,18.1958
47.805,18.1626
48.804,18.1239
49.805,18.0876
50.804,18.0542
51.804,18.0265
52.805,17.9897
53.805,17.9548
54.804,17.9255
55.805,17.8877
56.804,17.8598
57.805,17.8265
58.805,17.7876
59.805,17.7552
60.804,17.7227
61.804,17.6968
62.805,17.6587
63.805,17.6301
64.805,17.6024
65.804,17.5739
66.804,17.5449
67.804,17.5126
68.805,17.4803
69.805,17.4473
70.805,17.4213
71.805,17.3906
72.805,17.3617
73.804,17.3303
74.804,17.2976
75.804,17.2709
76.805,17.2362
77.804,17.2086
78.805,17.1903
79.805,17.1554
80.804,17.1282
81.805,17.1
82.804,17.0668
83.804,17.0433
84.805,17.0182
85.805,16.9876
86.805,16.961
87.804,16.9336
88.804,16.8973
89.805,16.8622
90.804,16.8395
91.805,16.813
92.805,16.78
93.804,16.7476
94.805,16.7286
95.804,16.698
96.805,16.6656
97.804,16.6416
98.805,16.6119
99.804,16.5824
100.805,16.5548
101.804,16.5284
102.805,16.5046
103.804,16.4753
104.804,16.45
105.804,16.4303
106.805,16.402
107.804,16.3752
108.804,16.3483
109.805,16.3226
110.805,16.298
111.804,16.2713
112.804,16.24
113.805,16.2153
114.805,16.1943
115.804,16.1717
116.804,16.1427
117.805,16.1152
118.805,16.092
119.804,16.0656
120.805,16.0479
121.804,16.0186
122.805,16.0002
123.805,15.9741
124.804,15.9486
125.804,15.9222
126.805,15.895
127.804,15.8705
128.805,15.8422
129.805,15.8156
130.804,15.7871
131.804,15.7638
132.804,15.747
133.805,15.718
134.805,15.6933
135.805,15.6689
136.804,15.6526
137.804,15.6242
138.805,15.5989
139.804,15.5662
140.805,15.5419
141.804,15.528
142.804,15.5088
143.805,15.4779
144.804,15.4418
145.805,15.4195
146.805,15.3946
147.804,15.3801
148.804,15.3508
149.804,15.3366
150.805,15.3043
151.805,15.2794
152.804,15.2644
153.805,15.2347
154.804,15.2092
155.804,15.1845
156.804,15.1637
157.805,15.1408
158.804,15.115
159.804,15.0937
160.804,15.0653
161.805,15.0414
162.804,15.0227
163.804,14.9902
164.804,14.9698
165.804,14.946
166.804,14.9295
167.805,14.9043
168.804,14.8762
169.804,14.8574
170.805,14.8441
171.804,14.8106
172.804,14.8013
173.804,14.7816
174.805,14.7547
175.804,14.7315
176.804,14.7102
177.804,14.6855
178.804,14.6607
179.805,14.6484
180.804,14.6204
181.805,14.6014
182.804,14.5763
183.805,14.5573
184.805,14.5408
185.804,14.5088
186.805,14.5007
187.804,14.4805
188.804,14.4585
189.805,14.4366
190.805,14.4112
191.804,14.3967
192.805,14.373
193.805,14.3516
194.804,14.3275
195.804,14.3094
196.805,14.2888
197.804,14.2638
198.804,14.2465
199.805,14.2188
200.804,14.1983
201.805,14.1778
202.804,14.16
203.805,14.1378
204.804,14.1223
205.804,14.095
206.805,14.0752
207.804,14.0578
208.805,14.0346
209.804,14.0102
210.805,13.9987
211.805,13.9749
212.804,13.9495
213.805,13.9344
