0.0 27 0.25 0.5
2.0 25 0.25 0.5
5.0 23 0.25 0.5
7.5 22 0.25 0.5
10.0 22 0.25 0.5
12.5 21 0.25 0.5
15.0 21 0.25 0.5
17.5 20 0.25 0.5
20.0 20 0.25 0.5
22.5 20 0.25 0.5
25.0 20 0.25 0.5
27.5 20 0.25 0.5
30.0 20 0.25 0.5
32.5 20 0.25 0.5
35.0 20 0.25 0.5
37.5 21 0.25 0.5
40.0 21 0.25 0.5
42.5 22 0.25 0.5
45.0 22 0.25 0.5
47.5 23 0.25 0.5
50.0 23 0.25 0.5
52.5 24 0.25 0.5
55.0 25 0.25 0.5
57.5 26 0.25 0.5
60.0 27 0.25 0.5
62.5 28 0.25 0.5
65.0 30 0.25 0.5
67.5 31 0.25 0.5
70.0 32 0.25 0.5
72.5 34 0.25 0.5
75.0 35 0.25 0.5
77.5 37 0.25 0.5
80.0 39 0.25 0.5
82.5 41 0.25 0.5
85.0 44 0.25 0.5
87.5 47 0.25 0.5
