0.0 27 0 0.25 0.5
2.0 25 42.0 0.25 0.5
5.0 23 36.0 0.25 0.5
7.5 22 34.0 0.25 0.5
10.0 22 32.0 0.25 0.5
12.5 21 30.0 0.25 0.5
15.0 21 29.0 0.25 0.5
17.5 20 28.0 0.25 0.5
20.0 20 28.0 0.25 0.5
22.5 20 27.0 0.25 0.5
25.0 20 27.0 0.25 0.5
27.5 20 27.0 0.25 0.5
30.0 20 27.0 0.25 0.5
32.5 20 27.0 0.25 0.5
35.0 20 27.0 0.25 0.5
37.5 21 27.0 0.25 0.5
40.0 21 27.0 0.25 0.5
42.5 22 27.0 0.25 0.5
45.0 22 28.0 0.25 0.5
47.5 23 28.0 0.25 0.5
50.0 23 29.0 0.25 0.5
52.5 24 30.0 0.25 0.5
55.0 25 30.0 0.25 0.5
57.5 26 31.0 0.25 0.5
60.0 27 32.0 0.25 0.5
62.5 28 33.0 0.25 0.5
65.0 30 35.0 0.25 0.5
67.5 31 36.0 0.25 0.5
70.0 32 37.0 0.25 0.5
72.5 34 39.0 0.25 0.5
75.0 35 40.0 0.25 0.5
77.5 37 42.0 0.25 0.5
80.0 39 44.0 0.25 0.5
82.5 41 46.0 0.25 0.5
85.0 44 48.0 0.25 0.5
87.5 47 52.0 0.25 0.5
