Частота,A * B
(kГц),(?)

0.00000000,0.11489530
0.02384186,0.07023921
0.04768372,0.06114102
0.07152557,0.03824069
0.09536743,0.20522900
0.11920929,0.33559740
0.14305115,0.28663120
0.16689301,0.11364210
0.19073486,0.02436551
0.21457672,0.03184704
0.23841858,0.00906801
0.26226044,0.02535549
0.28610229,0.10035220
0.30994415,0.43758010
0.33378601,0.84595050
0.35762787,1.05865100
0.38146973,0.88687030
0.40531158,0.42229620
0.42915344,0.06520446
0.45299530,0.03973889
0.47683716,0.01377050
0.50067902,0.02002314
0.52452087,0.01169442
0.54836273,0.03536097
0.57220459,0.04689681
0.59604645,0.41067800
0.61988831,0.98578490
0.64373016,1.37234200
0.66757202,1.16230800
0.69141388,0.53853180
0.71525574,0.10543860
0.73909760,0.02532675
0.76293945,0.01672737
0.78678131,0.01981757
0.81062317,0.02770434
0.83446503,0.09133008
0.85830688,0.27742040
0.88214874,0.35363530
0.90599060,0.24040260
0.92983246,0.06472006
0.95367432,0.08761598
0.97751617,0.43027790
1.00135803,0.68951840
1.02519989,0.39940720
1.04904175,0.08405098
1.07288361,0.02777520
1.09672546,0.18899520
1.12056732,0.32064510
1.14440918,0.28745200
1.16825104,0.13084800
1.19209290,0.00871083
1.21593475,0.02228162
1.23977661,0.00457967
1.26361847,0.02412642
1.28746033,0.07510833
1.31130219,0.29555140
1.33514404,0.52801440
1.35898590,0.79130480
1.38282776,0.81134030
1.40666962,0.45238190
1.43051147,0.09855875
1.45435333,0.04593979
1.47819519,0.00702294
1.50203705,0.02634707
1.52587891,0.01600080
1.54972076,0.03063494
1.57356262,0.03871775
1.59740448,0.39634500
1.62124634,1.08913800
1.64508820,1.69576000
1.66893005,1.45147500
1.69277191,0.61298910
1.71661377,0.11498310
1.74045563,0.02037661
1.76429749,0.02824390
1.78813934,0.00516065
1.81198120,0.02229469
1.83582306,0.07339223
1.85966492,0.26185290
1.88350677,0.35226850
1.90734863,0.25883120
1.93119049,0.08145192
1.95503235,0.17226220
1.97887421,0.86912850
2.00271606,1.30002700
2.02655792,0.68761960
2.05039978,0.10567530
2.07424164,0.02145481
2.09808350,0.15006090
2.12192535,0.30646690
2.14576721,0.30499280
2.16960907,0.15979180
2.19345093,0.01072069
2.21729279,0.02651433
2.24113464,0.01829864
2.26497650,0.03877701
2.28881836,0.05217705
2.31266022,0.15346260
2.33650208,0.24880600
2.36034393,0.57663290
2.38418579,0.73874550
2.40802765,0.47043850
2.43186951,0.12879220
2.45571136,0.03192337
2.47955322,0.01889331
2.50339508,0.02054648
2.52723694,0.01725178
2.55107880,0.01817630
2.57492065,0.02981165
2.59876251,0.37206290
2.62260437,1.20797900
2.64644623,2.04457400
2.67028809,1.70935000
2.69412994,0.64394370
2.71797180,0.11844240
2.74181366,0.01759383
2.76565552,0.02487417
2.78949738,0.01273210
2.81333923,0.03370731
2.83718109,0.04895819
2.86102295,0.24059080
2.88486481,0.35292490
2.90870667,0.28086630
2.93254852,0.10055000
2.95639038,0.28933550
2.98023224,1.28858200
3.00407410,1.80113700
3.02791595,0.89128050
3.05175781,0.11440680
3.07559967,0.01394322
3.09944153,0.14344190
3.12328339,0.30327420
3.14712524,0.32356010
