Частота,A * B
(kГц),(?)

0.00000000,0.03641757
0.02384186,0.02085279
0.04768372,0.07229564
0.07152557,0.17579390
0.09536743,0.19954100
0.11920929,0.20621990
0.14305115,0.24843950
0.16689301,0.20081660
0.19073486,0.08692042
0.21457672,0.05058368
0.23841858,0.06376606
0.26226044,0.07164848
0.28610229,0.15609230
0.30994415,0.34243920
0.33378601,0.59327380
0.35762787,0.80304840
0.38146973,0.77721290
0.40531158,0.48353980
0.42915344,0.18088060
0.45299530,0.03878939
0.47683716,0.06012177
0.50067902,0.05763415
0.52452087,0.06703448
0.54836273,0.05148648
0.57220459,0.15650500
0.59604645,0.48969220
0.61988831,0.88123330
0.64373016,1.10660000
0.66757202,0.91095150
0.69141388,0.43873620
0.71525574,0.15548820
0.73909760,0.07631009
0.76293945,0.06042977
0.78678131,0.04539784
0.81062317,0.07673416
0.83446503,0.20259910
0.85830688,0.26724160
0.88214874,0.22162700
0.90599060,0.19099780
0.92983246,0.18205120
0.95367432,0.12239480
0.97751617,0.46430370
1.00135803,0.70242270
1.02519989,0.37406900
1.04904175,0.05854197
1.07288361,0.15252360
1.09672546,0.18558100
1.12056732,0.18044280
1.14440918,0.22991160
1.16825104,0.20510710
1.19209290,0.10134120
1.21593475,0.04948889
1.23977661,0.05961350
1.26361847,0.06897697
1.28746033,0.14500920
1.31130219,0.22707850
1.33514404,0.29681400
1.35898590,0.57096790
1.38282776,0.70680960
1.40666962,0.49613410
1.43051147,0.20584800
1.45435333,0.05337572
1.47819519,0.04585965
1.50203705,0.05814725
1.52587891,0.07314640
1.54972076,0.04981156
1.57356262,0.12279970
1.59740448,0.47263150
1.62124634,0.99002540
1.64508820,1.45302700
1.66893005,1.22198300
1.69277191,0.50243780
1.71661377,0.13808430
1.74045563,0.07144129
1.76429749,0.05387749
1.78813934,0.05563482
1.81198120,0.07902642
1.83582306,0.18548670
1.85966492,0.26139240
1.88350677,0.22543020
1.90734863,0.18329890
1.93119049,0.19114210
1.95503235,0.20728090
1.97887421,0.89276220
2.00271606,1.30013300
2.02655792,0.65731460
2.05039978,0.07905442
2.07424164,0.13948160
2.09808350,0.18195990
2.12192535,0.16939850
2.14576721,0.22218950
2.16960907,0.22259550
2.19345093,0.12239220
2.21729279,0.03414226
2.24113464,0.05555601
2.26497650,0.06856855
2.28881836,0.12141880
2.31266022,0.09594911
2.33650208,0.09852162
2.36034393,0.43321130
2.38418579,0.64510850
2.40802765,0.51341340
2.43186951,0.24620010
2.45571136,0.05155060
2.47955322,0.05883838
2.50339508,0.06537293
2.52723694,0.06569613
2.55107880,0.05306089
2.57492065,0.08875286
2.59876251,0.44040310
2.62260437,1.10925500
2.64644623,1.81994200
2.67028809,1.49978200
2.69412994,0.52967990
2.71797180,0.11835520
2.74181366,0.07608347
2.76565552,0.05365974
2.78949738,0.05245140
2.81333923,0.05958378
2.83718109,0.17325180
2.86102295,0.26890330
2.88486481,0.24654550
2.90870667,0.18457810
2.93254852,0.19198040
2.95639038,0.32362730
2.98023224,1.31091700
3.00407410,1.79194600
3.02791595,0.85450070
3.05175781,0.08447581
3.07559967,0.12224680
3.09944153,0.18339250
3.12328339,0.17676730
3.14712524,0.21677630
