Частота,A * B
(kГц),(?)

0.00000000,0.22251680
0.02384186,0.13112590
0.04768372,0.10663580
0.07152557,0.12367970
0.09536743,0.12354270
0.11920929,0.23673200
0.14305115,0.18304730
0.16689301,0.09294982
0.19073486,0.06947385
0.21457672,0.03598223
0.23841858,0.01530968
0.26226044,0.03978151
0.28610229,0.14075400
0.30994415,0.21931290
0.33378601,0.42321000
0.35762787,0.44376970
0.38146973,0.53805740
0.40531158,0.25394170
0.42915344,0.12233540
0.45299530,0.05866639
0.47683716,0.02150218
0.50067902,0.00684040
0.52452087,0.01854270
0.54836273,0.05691387
0.57220459,0.08967267
0.59604645,0.26870160
0.61988831,0.52621900
0.64373016,0.68078060
0.66757202,0.74199510
0.69141388,0.25670980
0.71525574,0.12195250
0.73909760,0.02434789
0.76293945,0.00594510
0.78678131,0.03319341
0.81062317,0.05729437
0.83446503,0.08077646
0.85830688,0.20492810
0.88214874,0.23081570
0.90599060,0.14389560
0.92983246,0.14234760
0.95367432,0.10296650
0.97751617,0.43918960
1.00135803,0.67032500
1.02519989,0.35941360
1.04904175,0.09332617
1.07288361,0.08364572
1.09672546,0.12891550
1.12056732,0.24357550
1.14440918,0.16208050
1.16825104,0.11869180
1.19209290,0.07419419
1.21593475,0.02758368
1.23977661,0.00495031
1.26361847,0.03030047
1.28746033,0.12293440
1.31130219,0.16336820
1.33514404,0.14748950
1.35898590,0.41064630
1.38282776,0.53437800
1.40666962,0.23581510
1.43051147,0.14665930
1.45435333,0.05721107
1.47819519,0.01794322
1.50203705,0.01064642
1.52587891,0.02427686
1.54972076,0.04987233
1.57356262,0.06966542
1.59740448,0.30458280
1.62124634,0.52212980
1.64508820,1.01368100
1.66893005,1.06045500
1.69277191,0.31821180
1.71661377,0.11036740
1.74045563,0.01606861
1.76429749,0.01538524
1.78813934,0.03372220
1.81198120,0.03998189
1.83582306,0.06190645
1.85966492,0.19789810
1.88350677,0.20886270
1.90734863,0.19286780
1.93119049,0.17081150
1.95503235,0.16845810
1.97887421,0.87083640
2.00271606,1.27931300
2.02655792,0.65743700
2.05039978,0.10720910
2.07424164,0.06261864
2.09808350,0.13086650
2.12192535,0.22742860
2.14576721,0.14883190
2.16960907,0.14019440
2.19345093,0.07268544
2.21729279,0.01775183
2.24113464,0.01000345
2.26497650,0.03675698
2.28881836,0.10204890
2.31266022,0.13644370
2.33650208,0.11094720
2.36034393,0.48599810
2.38418579,0.50826200
2.40802765,0.24341710
2.43186951,0.17088950
2.45571136,0.05053797
2.47955322,0.00621768
2.50339508,0.00959861
2.52723694,0.02135061
2.55107880,0.03711747
2.57492065,0.05593656
2.59876251,0.32145440
2.62260437,0.57091010
2.64644623,1.42820000
2.67028809,1.38084200
2.69412994,0.36233550
2.71797180,0.06826406
2.74181366,0.00760186
2.76565552,0.01259311
2.78949738,0.03303005
2.81333923,0.03361353
2.83718109,0.07455833
2.86102295,0.19759970
2.88486481,0.18686050
2.90870667,0.22128090
2.93254852,0.17649390
2.95639038,0.22674180
2.98023224,1.24932200
3.00407410,1.76102200
3.02791595,0.85854350
3.05175781,0.10281520
3.07559967,0.04897696
3.09944153,0.15313170
3.12328339,0.21789710
3.14712524,0.15270530
