Частота,A * B
(kГц),(?)

0.00000000,0.00090030
0.02384186,0.00042664
0.04768372,0.00018543
0.07152557,0.00010491
0.09536743,0.00010845
0.11920929,0.00008839
0.14305115,0.00014392
0.16689301,0.00018999
0.19073486,0.00004234
0.21457672,0.00021633
0.23841858,0.00025172
0.26226044,0.00012234
0.28610229,0.00003338
0.30994415,0.00002558
0.33378601,0.00004888
0.35762787,0.00011630
0.38146973,0.00007040
0.40531158,0.00003673
0.42915344,0.00005301
0.45299530,0.00004931
0.47683716,0.00009600
0.50067902,0.00011568
0.52452087,0.00009419
0.54836273,0.00007546
0.57220459,0.00014445
0.59604645,0.00014646
0.61988831,0.00006535
0.64373016,0.00008274
0.66757202,0.00005889
0.69141388,0.00006790
0.71525574,0.00013101
0.73909760,0.00019934
0.76293945,0.00020485
0.78678131,0.00009300
0.81062317,0.00015576
0.83446503,0.00026597
0.85830688,0.00012384
0.88214874,0.00007566
0.90599060,0.00019003
0.92983246,0.00025076
0.95367432,0.00016456
0.97751617,0.00021642
1.00135803,0.00033996
1.02519989,0.00020261
1.04904175,0.00005293
1.07288361,0.00011420
1.09672546,0.00012855
1.12056732,0.00006212
1.14440918,0.00005082
1.16825104,0.00011428
1.19209290,0.00013795
1.21593475,0.00007083
1.23977661,0.00006540
1.26361847,0.00006162
1.28746033,0.00005955
1.31130219,0.00011780
1.33514404,0.00010934
1.35898590,0.00004821
1.38282776,0.00014332
1.40666962,0.00019950
1.43051147,0.00017854
1.45435333,0.00010093
1.47819519,0.00011794
1.50203705,0.00005531
1.52587891,0.00003875
1.54972076,0.00004574
1.57356262,0.00015694
1.59740448,0.00016657
1.62124634,0.00010023
1.64508820,0.00009876
1.66893005,0.00008013
1.69277191,0.00008761
1.71661377,0.00009378
1.74045563,0.00008945
1.76429749,0.00008733
1.78813934,0.00009061
1.81198120,0.00007192
1.83582306,0.00001054
1.85966492,0.00011405
1.88350677,0.00016786
1.90734863,0.00016614
1.93119049,0.00012062
1.95503235,0.00009449
1.97887421,0.00007607
2.00271606,0.00015407
2.02655792,0.00023623
2.05039978,0.00018165
2.07424164,0.00013115
2.09808350,0.00011387
2.12192535,0.00005592
2.14576721,0.00009711
2.16960907,0.00010131
2.19345093,0.00004697
2.21729279,0.00008508
2.24113464,0.00014718
2.26497650,0.00014213
2.28881836,0.00006212
2.31266022,0.00030504
2.33650208,0.00060988
2.36034393,0.00042522
2.38418579,0.00017153
2.40802765,0.00010200
2.43186951,0.00004707
2.45571136,0.00009049
2.47955322,0.00007238
2.50339508,0.00004408
2.52723694,0.00010599
2.55107880,0.00001110
2.57492065,0.00016079
2.59876251,0.00018313
2.62260437,0.00015089
2.64644623,0.00012445
2.67028809,0.00010981
2.69412994,0.00025933
2.71797180,0.00019993
2.74181366,0.00006817
2.76565552,0.00006556
2.78949738,0.00009714
2.81333923,0.00010670
2.83718109,0.00006380
2.86102295,0.00008708
2.88486481,0.00008974
2.90870667,0.00005370
2.93254852,0.00014055
2.95639038,0.00015707
2.98023224,0.00017092
3.00407410,0.00011435
3.02791595,0.00007683
3.05175781,0.00008033
3.07559967,0.00007502
3.09944153,0.00018319
3.12328339,0.00018080
3.14712524,0.00008802
