n,1,2,3,4,5,0
f,245,485,744,976,1204,0
,235,480,731,958,1170,0
,218,431,648,866,1095,0
,210,410,633,828,1067,0
,184,369,537,724,908,0
,,,,,,
"c, м/с",300.08,,,,,
