t,P
0,1.7
1.5,1.8
2.5,1.9
3.5,2
4.5,2.1
5.5,2.2
6.5,2.3
7.5,2.4
8.5,2.5
9.5,2.6
10.5,2.7
12,2.8
13,2.9
14,3
15,3.1
16,3.2
17,3.3
18.5,3.4
19.5,3.5
20.5,3.6
21.5,3.7
23,3.8
24,3.9
25.5,4
26.5,4.1
27.5,4.2
28.5,4.3
30,4.4
31,4.5
32.5,4.6
34,4.7
35.5,4.8
37,4.9
38.5,5
40,5.1
41.5,5.2
43,5.3
44.5,5.4
46,5.5
47.5,5.6
49.5,5.7
50.5,5.8
52,5.9
53.5,6
55,6.1
56.5,6.2
58,6.3
59.5,6.4
61,6.5
62.5,6.6
64,6.7
65.5,6.8
67,6.9
68.5,7
