t,P
0,1.6
1,1.7
2,1.8
3,1.9
4.5,2
5.5,2.1
6.5,2.2
7.5,2.3
8.5,2.4
9.5,2.5
11,2.6
12,2.7
13,2.8
14,2.9
15.5,3
16.5,3.1
18,3.2
19,3.3
20,3.4
21.5,3.5
22.5,3.6
24,3.7
25,3.8
26.5,3.9
27.5,4
29,4.1
30,4.2
31.5,4.3
33,4.4
34,4.5
35.5,4.6
36.5,4.7
38,4.8
39.5,4.9
40.5,5
42,5.1
43.5,5.2
45,5.3
46,5.4
47.5,5.5
49,5.6
50.5,5.7
51.5,5.8
53,5.9
54.5,6
56,6.1
57.5,6.2
59,6.3
60,6.4
62,6.5
63,6.6
64.5,6.7
66,6.8
67.5,6.9
69.5,7
