t,P
0,7.4
0.5,7.3
1,7.2
1.5,7
2,6.8
2.5,6.6
3,6.2
3.5,5.9
4,5.5
4.5,5.1
5,4.7
5.5,4.3
6,4
6.5,3.6
7,3.4
7.5,3.1
8,2.9
8.5,2.8
9,2.6
9.5,2.5
10,2.4
10.5,2.3
11,2.2
11.5,2.1
12,2
,
13,1.9
,
14,1.8
,
15,1.7
,
,
,
,
,
18,1.6
,
,
,
,
,
,
21.5,1.5
,
,
,
,
,
,
,
,
,
,
,
,
,
28.5,1.4
