1;0.77;0.29;0.15;0.539;0.04
2;0.55;0.23;0.15;0.48;0.04
3;0.358;0.16;0.15;0.4;0.039
4;0.083;0.077;0.15;0.277;0.038
5;-0.022;0.052;0.15;0.228;0.037
6;-0.147;0.027;0.15;0.164;0.037
7;-0.45;0.003;0.15;0.055;0.036
