#	1	2	3	4	5	6	7	8
err	c3	c4	None	None	c7	c8	None	None
name	H, А/м	B, Тл	None	None	H, А/м	B, Тл	None	None
data	8142.84435341064	1.59765026719606	16.2856887068213	0.110039075070741	-8133.37463429667	-1.7	16.2667492685933	0
data	2867.09672232895	1.37735502838029	5.7341934446579	0.104279881964012	-2867.09672232895	-1.46784270986338	5.7341934446579	0.00588681040754
data	1393.44131550532	1.1875622072467	2.78688263101063	0.098848847630797	-1392.43863936384	-1.27974446748992	2.78487727872768	0.011299613697782
data	874.723524980212	1.07063627279833	1.74944704996042	0.094201748145419	-873.999369989143	-1.13062153659924	1.74799873997829	0.016293102999647
data	527.463354648005	0.970656125951175	1.05492670929601	0.089736959089771	-527.296241957758	-1.03233596851221	1.05459248391552	0.020739661012322
data	370.433130046386	0.913040448107051	0.740866260092773	0.085727946108447	-370.488834276469	-0.974720290668082	0.740977668552937	0.024748673993645
data	310.885308088554	0.882538030424868	0.621770616177107	0.082010629814691	-310.941012318636	-0.947607030506141	0.621882024637272	0.028429528201455
data	247.71671117538	0.853730191502805	0.495433422350761	0.078311544563908	-247.71671117538	-0.9204937703442	0.495433422350761	0.032110382409265
data	218.08206077167	0.841868140181956	0.436164121543339	0.074794769742855	-218.304877691998	-0.901853403982866	0.436609755383997	0.035700081402211
data	156.473182300797	0.814754880020015	0.312946364601594	0.071113915535044	-156.528886530879	-0.874740143820925	0.313057773061758	0.039380935610021
data	85.5616974062029	0.779168726057468	0.171123394812406	0.067341906112369	-85.6174016362851	-0.840848568618499	0.17123480327257	0.043134713989723
data	0.612746530903797	0.71646931193298	0.01	0.063278200002127	-0.779859221150287	-0.778149154494011	0.01	0.047198420099966
data	-85.6731058663673	0.623267480126308	0.171346211732735	0.058886335118371	85.6731058663673	-0.681558165167097	0.171346211732735	0.051626747069668
data	-156.584590760961	0.508036124438059	0.313169181521922	0.054257466675966	156.584590760961	-0.562937651958605	0.313169181521922	0.056292077598018
data	-217.914948081423	0.233514365298408	0.435829896162846	0.047914880194102	218.08206077167	-0.274859262737983	0.436164121543339	0.062780512423666
data	-247.605302715216	0.040332386644579	0.495210605430432	0.042447383774941	247.661006945298	-0.068120654003184	0.495322013890597	0.068393857186611
data	-310.885308088554	-0.281637577778469	0.621770616177107	0.035594328089833	310.885308088554	0.280962570581804	0.621770616177107	0.075538609559286
data	-370.154608895976	-0.444317138750114	0.740309217791951	0.030454990444185	370.433130046386	0.450420446593935	0.740866260092773	0.080750871376826
data	-526.739199656937	-0.739173843011221	1.05347839931387	0.023893631446646	527.129129267512	0.760528359696133	1.05425825853502	0.087476309761122
data	-873.776553068815	-1.03064138975209	1.74755310613763	0.017368734535052	873.553736148486	1.07741458783882	1.74710747229697	0.094274672317311
data	-1392.43863936384	-1.2306016834464	2.78487727872768	0.011828313943999	1391.49166745244	1.29262609037422	2.78298333490488	0.099979172295121
data	-2862.64038392238	-1.47970476118423	5.72528076784475	0.005759193106729	2861.52629932073	1.56545327075375	5.72305259864147	0.106303527734012
data	-8125.01899978435	-1.7	16.2500379995687	0	8122.23378828024	1.80947261221122	16.2444675765605	0.112317955442362
