Время,A * B
(mс),(?)

-1.00006536,0.14702490
-0.99974536,0.15584910
-0.99942536,0.16467320
-0.99910536,0.16699260
-0.99878536,0.18232160
-0.99846536,0.19114570
-0.99814536,0.19555780
-0.99782536,0.20438200
-0.99750536,0.20879410
-0.99718536,0.21320620
-0.99686536,0.22203030
-0.99654536,0.22644240
-0.99622536,0.23085450
-0.99590536,0.23085450
-0.99558536,0.23526660
-0.99526536,0.23526660
-0.99494536,0.23967870
-0.99462536,0.23967870
-0.99430536,0.23967870
-0.99398536,0.23967870
-0.99366536,0.24866480
-0.99334536,0.24866480
-0.99302536,0.23526660
-0.99270536,0.24408720
-0.99238536,0.23950970
-0.99206536,0.23493220
-0.99174536,0.23493220
-0.99142536,0.23393620
-0.99110536,0.22919330
-0.99078536,0.22445040
-0.99046536,0.21496450
-0.99014536,0.20288970
-0.98982536,0.20073580
-0.98950536,0.19124990
-0.98918536,0.18176410
-0.98886536,0.17227820
-0.98854536,0.16279240
-0.98822536,0.15329060
-0.98790536,0.14380470
-0.98758536,0.12957600
-0.98726536,0.12009010
-0.98694536,0.11060430
-0.98662536,0.09973679
-0.98630536,0.08992012
-0.98598536,0.07519510
-0.98566536,0.05843215
-0.98534536,0.04894631
-0.98502536,0.03471754
-0.98470536,0.02120337
-0.98438536,0.00647835
-0.98406536,-0.00333833
-0.98374536,-0.01806335
-0.98342536,-0.03278837
-0.98310536,-0.04751339
-0.98278536,-0.05733007
-0.98246536,-0.07205509
-0.98214536,-0.08678010
-0.98182536,-0.09659678
-0.98150536,-0.11132180
-0.98118536,-0.12113850
-0.98086536,-0.13586350
-0.98054536,-0.14568020
-0.98022536,-0.16075440
-0.97990536,-0.17090200
-0.97958536,-0.18612320
-0.97926536,-0.19627070
-0.97894536,-0.20134450
-0.97862536,-0.21149200
-0.97830536,-0.22163950
-0.97798536,-0.22671330
-0.97766536,-0.23686080
-0.97734536,-0.24193460
-0.97702536,-0.25208210
-0.97670536,-0.25715580
-0.97638536,-0.26222960
-0.97606536,-0.26730340
-0.97574536,-0.27601820
-0.97542536,-0.28125740
-0.97510536,-0.28125740
-0.97478536,-0.28125740
-0.97446536,-0.29554220
-0.97414536,-0.28649650
-0.97382536,-0.28649650
-0.97350536,-0.29013760
-0.97318536,-0.27601820
-0.97286536,-0.28473300
-0.97254536,-0.28473300
-0.97222536,-0.27932840
-0.97190536,-0.27392380
-0.97158536,-0.26851920
-0.97126536,-0.26311460
-0.97094536,-0.25771000
-0.97062536,-0.25230540
-0.97030536,-0.24149630
-0.96998536,-0.23068710
-0.96966536,-0.21987790
-0.96934536,-0.21447330
-0.96902536,-0.20366410
-0.96870536,-0.19285490
-0.96838536,-0.18204570
-0.96806536,-0.17090750
-0.96774536,-0.15500450
-0.96742536,-0.14860870
-0.96710536,-0.13746870
-0.96678536,-0.11518860
-0.96646536,-0.10961860
-0.96614536,-0.09290859
-0.96582536,-0.07619855
-0.96550536,-0.05948851
-0.96518536,-0.04834847
-0.96486536,-0.03163843
-0.96454536,-0.01492839
-0.96422536,-0.00378836
-0.96390536,0.01292168
-0.96358536,0.02963173
-0.96326536,0.04634177
-0.96294536,0.06492432
-0.96262536,0.07639519
-0.96230536,0.08786605
-0.96198536,0.10507230
-0.96166536,0.12227870
-0.96134536,0.13374950
-0.96102536,0.15095580
-0.96070536,0.16242670
-0.96038536,0.17963300
-0.96006536,0.19112310
-0.95974536,0.20259400
-0.95942536,0.21406490
-0.95910536,0.23204050
-0.95878536,0.23700660
-0.95846536,0.25564390
-0.95814536,0.26154480
-0.95782536,0.27334650
-0.95750536,0.27924730
-0.95718536,0.28514820
-0.95686536,0.29694990
-0.95654536,0.30285080
-0.95622536,0.30875160
-0.95590536,0.31465240
-0.95558536,0.32347310
-0.95526536,0.32055330
-0.95494536,0.32953940
-0.95462536,0.32953940
-0.95430536,0.32953940
-0.95398536,0.33560570
-0.95366536,0.32953940
-0.95334536,0.32953940
-0.95302536,0.32953940
-0.95270536,0.32347310
-0.95238536,0.32347310
