Время,A * B
(mс),(?)

-1.00007840,0.16026110
-0.99975840,0.16908530
-0.99943840,0.17790950
-0.99911840,0.18673360
-0.99879840,0.19114570
-0.99847840,0.19996990
-0.99815840,0.20879410
-0.99783840,0.21320620
-0.99751840,0.21761820
-0.99719840,0.22644240
-0.99687840,0.22644240
-0.99655840,0.23526660
-0.99623840,0.23526660
-0.99591840,0.23526660
-0.99559840,0.23526660
-0.99527840,0.23967870
-0.99495840,0.25324230
-0.99463840,0.24866480
-0.99431840,0.24866480
-0.99399840,0.24866480
-0.99367840,0.24408720
-0.99335840,0.24408720
-0.99303840,0.24408720
-0.99271840,0.23950970
-0.99239840,0.23867910
-0.99207840,0.23867910
-0.99175840,0.22119970
-0.99143840,0.21662220
-0.99111840,0.21970740
-0.99079840,0.21022160
-0.99047840,0.20547870
-0.99015840,0.19124990
-0.98983840,0.18176410
-0.98951840,0.17702110
-0.98919840,0.16753530
-0.98887840,0.15804950
-0.98855840,0.14854770
-0.98823840,0.13431890
-0.98791840,0.12009010
-0.98759840,0.11534720
-0.98727840,0.10464510
-0.98695840,0.09482846
-0.98663840,0.07740384
-0.98631840,0.06537843
-0.98599840,0.05556174
-0.98567840,0.03471754
-0.98535840,0.02611171
-0.98503840,0.01629503
-0.98471840,-0.00333833
-0.98439840,-0.01315501
-0.98407840,-0.02788003
-0.98375840,-0.04260505
-0.98343840,-0.05733007
-0.98311840,-0.06714675
-0.98279840,-0.08187177
-0.98247840,-0.09659678
-0.98215840,-0.10641350
-0.98183840,-0.12113850
-0.98151840,-0.13095520
-0.98119840,-0.14551610
-0.98087840,-0.15568070
-0.98055840,-0.16042170
-0.98023840,-0.18104950
-0.97991840,-0.19119700
-0.97959840,-0.20134450
-0.97927840,-0.20641830
-0.97895840,-0.21656580
-0.97863840,-0.22671330
-0.97831840,-0.23686080
-0.97799840,-0.24193460
-0.97767840,-0.24700830
-0.97735840,-0.25208210
-0.97703840,-0.25715580
-0.97671840,-0.26222960
-0.97639840,-0.26730340
-0.97607840,-0.27601820
-0.97575840,-0.28125740
-0.97543840,-0.28649650
-0.97511840,-0.28649650
-0.97479840,-0.28649650
-0.97447840,-0.28125740
-0.97415840,-0.28649650
-0.97383840,-0.28125740
-0.97351840,-0.28473300
-0.97319840,-0.28473300
-0.97287840,-0.27932840
-0.97255840,-0.27932840
-0.97223840,-0.27392380
-0.97191840,-0.26311460
-0.97159840,-0.25771000
-0.97127840,-0.25230540
-0.97095840,-0.24149630
-0.97063840,-0.23609160
-0.97031840,-0.22528250
-0.96999840,-0.21987790
-0.96967840,-0.20906870
-0.96935840,-0.19285490
-0.96903840,-0.18204570
-0.96871840,-0.17123650
-0.96839840,-0.16531880
-0.96807840,-0.14959990
-0.96775840,-0.13338610
-0.96743840,-0.12632870
-0.96711840,-0.10961860
-0.96679840,-0.09290859
-0.96647840,-0.08176856
-0.96615840,-0.06505851
-0.96583840,-0.04834847
-0.96551840,-0.03720845
-0.96519840,-0.02049840
-0.96487840,-0.00390087
-0.96455840,0.00735167
-0.96423840,0.02406171
-0.96391840,0.04198259
-0.96359840,0.05748180
-0.96327840,0.06862182
-0.96295840,0.08786605
-0.96263840,0.10507230
-0.96231840,0.11654320
-0.96199840,0.13374950
-0.96167840,0.14522040
-0.96135840,0.16242670
-0.96103840,0.17389750
-0.96071840,0.18536840
-0.96039840,0.19685860
-0.96007840,0.20832950
-0.95975840,0.22553580
-0.95943840,0.23127120
-0.95911840,0.24274200
-0.95879840,0.25564390
-0.95847840,0.25994830
-0.95815840,0.27141920
-0.95783840,0.28514820
-0.95751840,0.29104910
-0.95719840,0.30285080
-0.95687840,0.30875160
-0.95655840,0.31740690
-0.95623840,0.31465240
-0.95591840,0.32953940
-0.95559840,0.32953940
-0.95527840,0.32953940
-0.95495840,0.32953940
-0.95463840,0.33560570
-0.95431840,0.32953940
-0.95399840,0.32953940
-0.95367840,0.32953940
-0.95335840,0.32347310
-0.95303840,0.32347310
-0.95271840,0.31740690
-0.95239840,0.31983040
